# {"t_start": 1703810166.6893713, "env_id": null} 
r,l,t
-1696644.5,7294,237.863775
-1473877.75,7015,483.995451
-712681.5,10000,827.826979
-1462348.0,9439,1156.539911
-582695.0,7965,1446.421103
-584398.5,7722,1712.512928
-817802.5,5934,1944.167007
-351555.75,7551,2216.243156
-684965.25,10000,2543.537328
-621817.25,5862,2748.822408
-12877.5,6729,2976.869445
-624863.0,10000,3297.654632
123639.5,5711,3509.871416
-1181862.5,6996,3754.084087
-631938.75,6273,3986.051023
-156563.5,10000,4342.818931
-2053344.5,7369,4583.344395
-1744543.75,5866,4783.695276
-442535.0,6320,5002.86364
-1195270.5,5835,5226.681154
-958616.5,6486,5465.510356
-515418.25,8851,5772.044864
-1119281.0,9994,6119.009295
-693234.25,6856,6357.847951
-2269085.25,7621,6611.88424
-1403680.0,4638,6769.096183
-553192.0,4750,6929.20583
-1088703.25,5887,7133.84453
-471109.75,7057,7362.65176
130679.75,4268,7511.352706
660891.0,5197,7685.647797
-945452.5,8767,7971.572132
-938106.25,5289,8149.491411
-2217584.5,5666,8337.598118
-573562.75,5708,8530.616695
-594626.0,5760,8716.234301
1064741.75,8240,8986.58569
-556958.25,5414,9170.385199
-343605.25,7590,9417.823454
-597074.0,8052,9682.030933
-1301972.5,7260,9918.667174
-465425.0,5288,10096.683405
639279.25,7675,10354.270008
-348725.75,7730,10607.711478
-470590.25,4900,10772.01494
-969900.5,8939,11067.994516
-1205049.0,7858,11322.500641
45180.5,10000,11632.775407
-931573.75,9614,11937.524235
-11664.25,6053,12197.081445
-283900.0,8108,12483.083061
-1087278.5,7786,12740.41724
-887166.5,6207,12955.01575
3837.5,10000,13311.936985
-418780.5,8938,13623.217489
-1092223.75,6219,13847.690677
-1781808.5,7862,14129.998984
-817841.0,5904,14342.983968
-1469649.0,8185,14655.792967
-2632570.5,5500,14850.909417
-1594309.0,8286,15123.803768
-1572596.0,9486,15451.473388
-1065730.5,5502,15629.315325
-157591.0,5726,15844.319958
-1171147.5,6935,16097.698241
-1302396.25,7751,16373.983446
-943424.0,8165,16652.43864
-1533530.25,7226,16901.399675
-1006385.75,7431,17153.680888
-462376.5,6086,17419.880221
-1387022.75,5273,17600.659054
592194.25,7294,17857.333131
-486603.25,5659,18060.611235
-132099.0,7880,18360.690632
-937435.25,7245,18783.800687
-1638308.5,7584,19215.380005
-511783.25,9530,19730.987889
-1314097.75,5315,20059.794436
-331171.25,7583,20510.417967
-10791.5,9526,20978.227062
-1346718.0,7270,21228.003987
-95016.5,6065,21433.540617
-925052.75,5259,21613.362399
-225160.5,5427,21798.476766
-506875.0,4895,21965.912026
-569215.25,7172,22204.417145
-520502.25,4772,22364.344294
-998670.5,5613,22556.606186
298372.25,4682,22708.361685
-114271.25,7666,22964.160916
191249.5,8920,23253.499439
-138085.25,7057,23488.668417
-214392.25,8328,23762.788492
-1508111.5,6014,23967.299048
-54888.25,5543,24150.192392
-538350.75,7542,24400.247769
-123385.25,7107,24636.34791
-1386257.0,6286,24844.040693
-1071626.25,7899,25104.5107
-969749.0,8050,25368.239894
-1367630.75,7480,25612.360812
-533483.0,6966,25840.819223
-1483344.75,6732,26062.863653
481961.25,5964,26264.40357
-390569.75,6474,26480.782117
-1017687.75,5009,26647.062879
-74456.0,5432,26829.004853
-658018.0,7013,27060.322781
-732047.5,6915,27286.134443
845980.0,4850,27441.941537
-675592.0,6357,27652.552707
-986320.0,5076,27824.014476
-1088481.75,8330,28099.905534
-1218405.0,4985,28263.445549
-1800571.25,8206,28536.08442
-916759.75,6772,28755.828968
-270892.25,8299,29027.088265
75995.75,6512,29239.156945
-849634.0,7926,29503.209834
-656404.25,6082,29695.38062
-266921.75,8040,29962.174579
-998170.25,7235,30202.790586
362448.5,6190,30407.417794
-1111227.25,4691,30559.05564
-574367.75,8868,30847.010884
-1590462.75,8987,31138.152426
-46117.75,5264,31314.272609
-23266.25,7828,31574.2768
-168664.5,7701,31823.092961
-583006.0,5693,32008.910906
-364539.5,9033,32300.586643
-749625.0,8742,32583.83794
-1654969.25,10000,32911.779363
-849616.25,7790,33163.953635
-1242753.5,8236,33433.280566
-1091665.75,7678,33691.120456
-982452.25,4687,33841.844975
-554733.5,7427,34089.333147
-1131442.25,4732,34239.847123
-1242305.0,8683,34520.745578
-23669.5,8341,34795.239011
-523320.0,8640,35075.937771
-1662982.75,5296,35251.69681
-1114424.75,6846,35472.952364
-464287.25,8520,35752.03088
-450764.75,6706,35968.254476
-634388.75,5832,36166.094462
-228677.0,6418,36373.303308
-1674581.25,7503,36614.359236
-71573.0,4787,36772.424633
-1420821.25,7661,37020.495951
-976052.0,6382,37229.60614
-867652.0,6537,37439.477905
-605407.5,6493,37641.117173
-4691.0,5732,37832.171732
-695003.25,5787,38024.076523
-1869965.5,7933,38279.588161
-1627462.75,5322,38457.910611
-11651.0,8267,38725.418585
-913913.25,5433,38905.270728
-1479279.0,7971,39158.888341
-1166320.75,7325,39397.303213
-1326984.5,8321,39665.545901
-865172.75,5299,39840.718384
-868259.0,7897,40098.928099
-1364154.5,8137,40363.577832
-871146.25,8636,40641.411837
-1063384.5,8188,40902.826884
-1165823.0,7339,41139.465489
-1027939.25,6045,41337.562778
-1554726.75,8135,41600.288852
-197461.25,7569,41846.684715
-569938.75,6973,42068.941586
774301.0,7965,42326.434303
-474431.25,7812,42578.436521
593876.5,7292,42813.87091
-386617.75,8659,43092.859617
-1628239.75,6665,43312.307664
-680408.25,5718,43502.171728
-1145497.25,4382,43649.902435
-889750.75,7510,43892.084481
-1090058.0,7079,44121.703345
-185694.5,8452,44393.011798
-879709.0,9454,44700.02289
-34583.75,6335,44904.965667
-1940792.25,5041,45065.753904
-1406810.25,7021,45288.830627
-439010.75,7350,45521.370884
-768349.5,8392,45788.868647
126078.0,6391,45995.729004
480707.5,7000,46219.936138
-1087056.25,7860,46473.144398
-93410.5,9028,46760.049249
-1400227.25,8442,47034.70276
267423.25,4367,47175.081051
-1440903.0,7357,47408.866425
-1276532.0,6205,47608.957715
1079712.25,8736,47886.777068
-1992437.75,8361,48158.297823
-1616021.25,7813,48408.156279
48107.5,7075,48636.117847
39618.5,6068,48832.932181
-1106472.5,6493,49039.009966
-2320279.5,4561,49189.482468
-837330.0,5100,49358.10396
-377061.0,5801,49541.859388
-859057.75,5192,49704.487342
-357760.75,7585,49948.547463
-951044.75,6379,50155.038918
471551.5,7534,50397.486969
-125811.75,7973,50655.704475
-1452817.5,6819,50878.964803
-877659.0,7727,51128.285314
-481145.5,8877,51414.894088
-7377.75,4914,51576.471787
-486669.0,4137,51710.264039
-517057.0,6560,51925.75334
-1463360.75,7234,52161.63325
-1286184.0,8211,52431.378142
-373920.75,7208,52665.143954
-1827495.25,6913,52891.305605
-1623886.75,8128,53154.238848
481536.0,7955,53413.453617
-835287.75,5388,53594.494841
