# {"t_start": 1703561580.9659843, "env_id": null} 
r,l,t
-58746.0,4917,262.237465
154739.0,5995,518.465153
145350.0,7318,832.159213
366593.0,6234,1100.911658
-2219.0,6638,1390.835605
37945.790164,5235,1620.851055
24895.980413,5185,1849.761405
613287.080055,10000,2278.482723
621920.759727,4331,2466.189649
175736.849727,5444,2711.688418
165105.659728,10000,3131.946338
626175.280103,5137,3361.319114
637939.490417,5469,3589.358912
429451.40044,6032,3825.70656
484349.050398,6871,4093.487173
297656.950413,7588,4392.684454
-3978.439601,7240,4676.194031
1177822.479729,6827,4942.610874
708891.999711,4182,5112.144998
665793.949751,10000,5498.511439
273214.79002,4831,5686.285601
331911.580408,5498,5901.829679
803850.67044,6086,6145.076524
758628.040079,4229,6311.318198
493398.82007,5040,6513.253377
521582.400095,4654,6708.140327
499857.999736,8445,7039.921703
378408.130123,10000,7411.774793
819029.139738,6222,7648.995978
276486.220046,4872,7841.620106
536760.579772,4802,8034.042609
1154037.140084,8032,8346.99876
1170636.130108,4893,8540.235923
100664.220024,10000,8917.573488
521645.040022,6533,9176.672242
1033318.040357,10000,9553.447357
491876.859669,4716,9738.939315
366586.220077,6566,9994.471961
342493.219749,8897,10342.703058
692116.500072,4168,10503.987082
320730.769791,6776,10765.875626
339497.580369,6665,11030.563242
315994.219999,9927,11404.981252
105553.130106,6209,11645.881201
281889.580413,5443,11862.158178
1021930.130079,5251,12069.37761
770207.219748,5355,12284.56834
1003740.400456,5748,12537.307011
112249.680028,5741,12757.029839
484373.130359,6202,12998.374358
144108.219723,7385,13284.811365
44920.860396,10000,13656.200619
878281.180372,6410,13903.459806
545242.400081,4029,14062.827859
162315.039724,5267,14271.707788
371210.129778,8240,14589.946063
332645.770025,7311,14887.689895
496927.129723,9252,15238.140146
495695.500033,6042,15473.602843
1310236.310106,6440,15727.173162
649129.220109,4982,15925.769408
600432.04005,3986,16081.678801
654745.31011,4879,16273.329275
212566.039722,9569,16640.369423
264560.220022,7222,16899.610698
478752.490407,6641,17111.41799
484530.310054,7583,17360.046348
291763.400412,4966,17523.680021
159626.400384,5665,17709.111678
336657.310411,3858,17839.511112
350813.130053,5185,18010.097466
1167665.679751,9744,18303.069084
649018.130077,8744,18563.831678
505813.860109,7054,18763.206038
129556.770078,6074,18946.670211
381669.40044,7889,19178.002755
727050.31008,4574,19404.077901
504304.310105,4236,19529.515938
298856.860407,10000,19821.983157
353214.679694,9865,20109.920456
781022.219715,6637,20305.493191
816177.309747,9642,20583.709661
649990.220435,6781,20781.802506
946795.950009,7374,20999.436045
821427.220079,9888,21286.392643
327110.310077,10000,21576.970071
511702.400081,7007,21785.011398
1014337.13008,5197,21935.536901
803476.40008,7582,22157.127858
12597.129778,7507,22374.654123
541759.770024,9091,22641.265725
-10313.779947,5591,22807.593754
1324900.670443,10000,23095.063205
1023983.31044,10000,23381.017704
683875.219786,4209,23506.917011
760643.490437,8343,23750.082961
345129.220083,5949,23921.9791
1172040.130027,10000,24212.51898
654513.129746,6271,24395.522697
839737.950385,10000,24690.197409
1023371.860081,9856,24971.510201
891282.589751,7548,25193.979827
146664.399771,5386,25350.686788
851564.130411,6234,25530.380955
320678.30972,9689,25811.566742
453324.309748,7037,26013.657772
