eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
nan,nan,-361.64007568359375,20,1,6.148468017578125,20,3.7268987398419995e-06
nan,nan,-1.2040138244628906e-05,95,100,6.148468017578125,2000,0.2977382242679596
nan,nan,-0.0003268718719482422,78,200,6.148468017578125,4000,0.5812793970108032
nan,nan,0.0007541775703430176,73,300,6.148468494415283,6000,0.6888654828071594
nan,nan,0.007468283176422119,71,400,6.148468017578125,8000,0.0992652177810669
nan,nan,0.0001214146614074707,68,500,6.148468017578125,10000,2.757901906967163
nan,nan,-6.222724914550781e-05,67,600,6.148467063903809,12000,2.6992080211639404
nan,nan,-0.0003070831298828125,70,700,6.148465633392334,14000,2.7856099605560303
nan,nan,0.004287242889404297,72,800,6.1484527587890625,16000,0.16588565707206726
nan,nan,-0.006506919860839844,74,900,6.148425102233887,18000,0.40817776322364807
4917.0,-58746.0,-0.008031725883483887,75,1000,6.148440361022949,20000,0.0003229101712349802
4917.0,-58746.0,1.990795135498047e-05,77,1100,6.148357391357422,22000,2.772785186767578
4917.0,-58746.0,-0.0011944770812988281,78,1200,6.148427486419678,24000,0.2335156500339508
5582.5,-41334.0,-0.017193317413330078,79,1300,6.148313999176025,26000,0.25618666410446167
6159.5,101194.0,0.06466925144195557,80,1400,6.148416996002197,28000,7.511797775805462e-06
6159.5,101194.0,-0.0010262727737426758,81,1500,6.14813756942749,30000,0.9191009402275085
6159.5,101194.0,0.005343377590179443,81,1600,6.148129940032959,32000,0.0014138157712295651
6159.5,101194.0,0.002912282943725586,82,1700,6.147756099700928,34000,0.002019754843786359
6159.5,101194.0,-0.13724052906036377,83,1800,6.146320343017578,36000,0.00436138641089201
6159.5,101194.0,-0.007700920104980469,83,1900,6.131711959838867,38000,0.3262867331504822
6159.5,101194.0,0.001191854476928711,83,2000,6.145688533782959,40000,0.22688579559326172
6159.5,101194.0,-0.0007079839706420898,84,2100,6.139509201049805,42000,2.6094603538513184
6126.6,111903.0,0.00045484304428100586,84,2200,6.143685340881348,44000,0.17814388871192932
6126.6,111903.0,0.0019183158874511719,84,2300,6.145334720611572,46000,0.47824567556381226
6126.6,111903.0,0.0004271268844604492,85,2400,6.146916389465332,48000,0.046732012182474136
5959.5,139346.16666666666,7.62939453125e-06,85,2500,6.147447109222412,50000,1.0513230562210083
5959.5,139346.16666666666,0.0001900196075439453,85,2600,6.136725902557373,52000,1.7258808612823486
6092.571428571428,140109.57142857142,-0.00011086463928222656,86,2700,6.146466255187988,54000,0.6681315898895264
6092.571428571428,140109.57142857142,0.001640617847442627,86,2800,6.1467742919921875,56000,0.04699847474694252
6322.375,160908.625,-0.003068089485168457,86,2900,6.145392417907715,58000,0.10887329280376434
6322.375,160908.625,-7.426738739013672e-05,86,3000,6.147686004638672,60000,1.7301933765411377
6322.375,160908.625,0.0001939535140991211,86,3100,6.14600133895874,62000,0.3612886667251587
6322.375,160908.625,-0.00019085407257080078,87,3200,6.1451616287231445,64000,0.10766277462244034
6322.375,160908.625,-2.0503997802734375e-05,87,3300,6.129891872406006,66000,2.9120538234710693
6322.375,160908.625,0.0005609393119812012,87,3400,6.145260810852051,68000,0.20660486817359924
6322.375,160908.625,-0.0007846355438232422,87,3500,6.138554573059082,70000,0.0033681250642985106
6228.111111111111,160012.77777777778,0.020947635173797607,87,3600,6.145368576049805,72000,0.0006698311190120876
6337.1,158546.5,-0.0023767948150634766,87,3700,6.145018577575684,74000,0.25240224599838257
6337.1,158546.5,0.00024771690368652344,88,3800,6.1435747146606445,76000,2.8496358394622803
6204.636363636364,158228.9090909091,0.0050560832023620605,88,3900,6.143389701843262,78000,0.05559824779629707
6204.636363636364,158228.9090909091,0.00019431114196777344,88,4000,6.144759178161621,80000,0.7540269494056702
6291.25,143322.16666666666,-2.1696090698242188e-05,88,4100,6.1435089111328125,82000,0.10818503797054291
6291.25,143322.16666666666,-0.019895076751708984,88,4200,6.147154808044434,84000,0.0001321196323260665
6291.25,143322.16666666666,-0.0007741451263427734,88,4300,6.146950721740723,86000,0.19921280443668365
6291.25,143322.16666666666,0.03548198938369751,88,4400,6.143708229064941,88000,0.0007792027317918837
6291.25,143322.16666666666,0.008722662925720215,88,4500,6.1442131996154785,90000,0.0006539045716635883
6291.25,143322.16666666666,2.199411392211914e-05,88,4600,6.134255886077881,92000,1.661009430885315
6291.25,143322.16666666666,6.020069122314453e-06,89,4700,6.132576942443848,94000,0.5935901403427124
6291.25,143322.16666666666,-0.0007737874984741211,89,4800,6.115239143371582,96000,0.007838810794055462
6322.428571428572,159086.14285714287,-0.0061103105545043945,89,4900,6.138054847717285,98000,0.0016261797863990068
6322.428571428572,159086.14285714287,0.00037109851837158203,89,5000,6.147164344787598,100000,0.817275881767273
6322.428571428572,159086.14285714287,0.013543128967285156,89,5100,6.1407694816589355,102000,0.05542290210723877
6324.866666666667,183668.4,0.004465699195861816,89,5200,6.144745349884033,104000,0.00036415737122297287
6324.866666666667,183668.4,0.0020964741706848145,89,5300,6.146522045135498,106000,0.19791272282600403
6330.6875,168910.4375,0.001179337501525879,89,5400,6.142609596252441,108000,0.0005516394739970565
6330.6875,168910.4375,0.001016080379486084,89,5500,6.135762691497803,110000,0.2609102725982666
6330.6875,168910.4375,0.0003522038459777832,89,5600,6.134904384613037,112000,0.2691136300563812
6330.6875,168910.4375,-0.0001480579376220703,89,5700,6.145632743835449,114000,0.05158611387014389
6330.6875,168910.4375,0.0002626180648803711,89,5800,6.139565467834473,116000,2.885702610015869
6330.6875,168910.4375,0.0002410411834716797,89,5900,6.143373489379883,118000,1.051430106163025
6330.6875,168910.4375,-7.677078247070312e-05,89,6000,6.140219211578369,120000,2.9061203002929688
6330.6875,168910.4375,0.00020360946655273438,89,6100,6.144815921783447,122000,2.6954312324523926
6349.941176470588,158916.0588235294,2.1278858184814453e-05,89,6200,6.145907402038574,124000,2.649836301803589
6319.9473684210525,148018.8947368421,-0.013229012489318848,89,6300,6.140707969665527,126000,0.000543497153557837
6319.9473684210525,148018.8947368421,0.0001283884048461914,89,6400,6.1432108879089355,128000,3.7378971576690674
6286.35,150465.9,-0.0013669729232788086,89,6500,6.100064754486084,130000,1.3826282024383545
6286.35,150465.9,-0.0007126331329345703,89,6600,6.097783088684082,132000,1.3856232166290283
6286.35,150465.9,-0.0004591941833496094,89,6700,6.033300399780273,134000,2.497145175933838
6286.35,150465.9,3.057718276977539e-05,89,6800,6.145413875579834,136000,2.8972835540771484
6286.35,150465.9,0.0007126331329345703,89,6900,6.12253475189209,138000,2.7600257396698
6286.35,150465.9,-0.0016345977783203125,89,7000,6.014288425445557,140000,3.5432190895080566
6286.35,150465.9,0.002113819122314453,89,7100,6.114990234375,142000,0.2602110803127289
6213.714285714285,176562.2857142857,0.0002783536911010742,89,7200,6.1253533363342285,144000,0.820448100566864
6137.391304347826,164803.32305060868,-9.179115295410156e-06,89,7300,6.128815650939941,146000,0.6710871458053589
6137.391304347826,164803.32305060868,3.790855407714844e-05,89,7400,6.139987945556641,148000,0.6728060245513916
6137.391304347826,164803.32305060868,8.90493392944336e-05,89,7500,6.140543460845947,150000,0.574048638343811
6137.391304347826,164803.32305060868,0.00018334388732910156,89,7600,6.131617069244385,152000,0.2749481797218323
6122.375,165962.29333425,0.010439932346343994,89,7700,6.14045524597168,154000,4.835513391299173e-05
6122.375,165962.29333425,0.00260239839553833,89,7800,6.141786098480225,156000,0.14789660274982452
6122.375,165962.29333425,0.0019786953926086426,89,7900,5.923453330993652,158000,3.2672035694122314
6122.375,165962.29333425,0.019055545330047607,89,8000,3.61991810798645,160000,4.226431369781494
6122.375,165962.29333425,0.0038770437240600586,89,8100,5.936482906341553,162000,0.5112494230270386
6122.375,165962.29333425,0.04395967721939087,89,8200,5.812623023986816,164000,0.34310078620910645
6087.72,173315.95959256002,0.0069702863693237305,89,8300,5.319472312927246,166000,0.6352950930595398
6053.0,167607.49885488462,-0.003316521644592285,89,8400,0.001019154442474246,168000,4.607653617858887
6053.0,167607.49885488462,-0.00797569751739502,89,8500,0.25546035170555115,170000,1.1394306421279907
6053.0,167607.49885488462,0.006788015365600586,89,8600,0.18569150567054749,172000,3.3219032287597656
6053.0,167607.49885488462,-0.00023639202117919922,90,8700,0.5040472149848938,174000,0.39626413583755493
6053.0,167607.49885488462,0.00044161081314086914,90,8800,0.16664649546146393,176000,0.38180094957351685
6053.0,167607.49885488462,0.0018475055694580078,90,8900,0.20534057915210724,178000,2.0180726051330566
6053.0,167607.49885488462,0.0011359453201293945,90,9000,0.14292530715465546,180000,2.0473999977111816
6053.0,167607.49885488462,0.00037658214569091797,90,9100,0.006273061037063599,182000,0.541083574295044
6053.0,167607.49885488462,-0.00042057037353515625,90,9200,0.01676636002957821,184000,0.43660879135131836
6199.185185185185,162093.5440981111,0.00438690185546875,90,9300,0.0037964105140417814,186000,2.31074857711792
6199.185185185185,162093.5440981111,0.023446738719940186,90,9400,0.00775852520018816,188000,0.3665095269680023
6199.185185185185,162093.5440981111,-0.004071712493896484,90,9500,0.17319466173648834,190000,3.437467575073242
6199.185185185185,162093.5440981111,0.02271050214767456,90,9600,0.6088559031486511,192000,3.4459915161132812
6334.928571428572,163278.1625132143,0.026110529899597168,90,9700,0.5470812320709229,194000,0.24398377537727356
6334.928571428572,163278.1625132143,-0.0004298686981201172,90,9800,0.08535046875476837,196000,0.22143545746803284
6334.928571428572,163278.1625132143,-0.02540302276611328,90,9900,5.945737361907959,198000,1.7327606678009033
6334.928571428572,163278.1625132143,0.010931789875030518,90,10000,6.112514019012451,200000,0.19524532556533813
6334.928571428572,163278.1625132143,0.001804053783416748,90,10100,6.052445411682129,202000,2.9746108055114746
6451.620689655172,191537.87276199998,-0.0041942596435546875,90,10200,4.993652820587158,204000,2.2363743782043457
6451.620689655172,191537.87276199998,0.021242499351501465,90,10300,3.294469118118286,206000,0.057033974677324295
6569.9,205596.17967176667,-0.002253890037536621,90,10400,0.03824317827820778,208000,2.446382761001587
6547.548387096775,225241.23064129034,0.013025641441345215,90,10500,0.0023767142556607723,210000,7.4631500244140625
6547.548387096775,225241.23064129034,0.13423758745193481,90,10600,0.026524344459176064,212000,0.2582634389400482
6547.548387096775,225241.23064129034,0.07267189025878906,90,10700,0.0014015522319823503,214000,1.2294429540634155
6547.548387096775,225241.23064129034,0.0340539813041687,90,10800,0.08745548874139786,216000,1.2605855464935303
6547.548387096775,225241.23064129034,-0.023858189582824707,90,10900,0.4424189031124115,218000,2.4720025062561035
6547.548387096775,225241.23064129034,0.006303250789642334,90,11000,5.859440803527832,220000,4.2761030197143555
6435.625,236972.65342521877,-0.03593897819519043,90,11100,5.988455772399902,222000,2.3181025981903076
6371.848484848485,248637.7475555758,-0.013119220733642578,90,11200,5.664760589599609,224000,3.8215270042419434
6421.35294117647,255300.82145347062,0.012694954872131348,90,11300,5.615454196929932,226000,3.1559786796569824
6401.114285714286,253524.79111842858,0.014910340309143066,90,11400,0.3275008797645569,228000,4.955449104309082
6401.114285714286,253524.79111842858,-0.0017031431198120117,90,11500,0.5241142511367798,230000,4.811911582946777
6401.114285714286,253524.79111842858,-0.04390287399291992,90,11600,0.05776268243789673,232000,3.7220921516418457
6401.114285714286,253524.79111842858,0.003980696201324463,90,11700,0.11516940593719482,234000,0.07807482779026031
6401.114285714286,253524.79111842858,-0.0015685558319091797,90,11800,0.5801220536231995,236000,0.04721677303314209
6401.114285714286,253524.79111842858,-0.020719528198242188,90,11900,5.601593971252441,238000,1.5283114910125732
6401.114285714286,253524.79111842858,-0.0053168535232543945,90,12000,5.962512016296387,240000,5.241961479187012
6340.083333333333,262369.9872001667,0.0033943653106689453,90,12100,4.570606708526611,242000,4.970893859863281
6285.081081081081,278054.43268445943,0.007707834243774414,90,12200,4.046963214874268,244000,1.991154432296753
6255.51282051282,272500.40946661535,0.0058596134185791016,90,12300,5.291677951812744,246000,3.701195478439331
6255.51282051282,272500.40946661535,-0.06234598159790039,90,12400,0.018322104588150978,248000,1.437253713607788
6255.51282051282,272500.40946661535,0.1485266089439392,90,12500,0.11702664941549301,250000,3.0585694313049316
6255.51282051282,272500.40946661535,-0.06414353847503662,90,12600,0.03386874124407768,252000,2.866983413696289
6255.51282051282,272500.40946661535,0.006245791912078857,90,12700,0.00010363428009441122,254000,1.998864769935608
6255.51282051282,272500.40946661535,-0.0001081228256225586,90,12800,0.00011587917106226087,256000,0.6450355648994446
6255.51282051282,272500.40946661535,0.004779815673828125,90,12900,0.0003315923677291721,258000,1.1899017095565796
6255.51282051282,272500.40946661535,0.004748642444610596,90,13000,0.0006479178555309772,260000,2.023838520050049
6255.51282051282,272500.40946661535,0.004236400127410889,90,13100,0.0006355755031108856,262000,2.018381357192993
6255.51282051282,272500.40946661535,-0.002056717872619629,90,13200,0.0003010242071468383,264000,0.5579196214675903
6255.51282051282,272500.40946661535,0.00524294376373291,90,13300,0.0018907446647062898,266000,0.6653364300727844
6255.51282051282,272500.40946661535,0.0029535889625549316,90,13400,0.00012546186917461455,268000,1.9908294677734375
6255.51282051282,272500.40946661535,-0.011263489723205566,90,13500,0.000279577070614323,270000,0.5904044508934021
6255.51282051282,272500.40946661535,0.0014036297798156738,90,13600,0.0006413059309124947,272000,0.49492374062538147
6255.51282051282,272500.40946661535,0.0010361075401306152,90,13700,0.0013191737234592438,274000,2.0311803817749023
6255.51282051282,272500.40946661535,0.005529940128326416,90,13800,0.0002955126983579248,276000,1.9936224222183228
6255.51282051282,272500.40946661535,0.00013327598571777344,90,13900,0.0012920896988362074,278000,0.44224563241004944
6255.51282051282,272500.40946661535,0.008349299430847168,91,14000,0.0005471936310641468,280000,2.004612922668457
6349.125,265510.498973075,0.07821911573410034,91,14100,0.0037238351069390774,282000,0.3568879961967468
6438.170731707317,259541.2370402439,0.1780741810798645,91,14200,0.0005834436160512269,284000,1.5277680158615112
6603.837209302325,254939.95670011628,-0.03884255886077881,91,14300,0.005878855939954519,286000,0.9118808507919312
6603.837209302325,254939.95670011628,0.04594236612319946,91,14400,0.09745880216360092,288000,5.400051593780518
6603.837209302325,254939.95670011628,0.015823662281036377,91,14500,1.945298433303833,290000,6.312146186828613
6603.837209302325,254939.95670011628,0.12374144792556763,91,14600,0.8491136431694031,292000,0.07802388817071915
6603.837209302325,254939.95670011628,0.004758298397064209,91,14700,2.7321949005126953,294000,2.4298954010009766
6603.837209302325,254939.95670011628,-0.047176361083984375,91,14800,4.62515115737915,296000,5.876895427703857
6603.837209302325,254939.95670011628,-0.007079482078552246,91,14900,6.067996978759766,298000,1.4757119417190552
6603.837209302325,254939.95670011628,0.20276570320129395,91,15000,6.10247802734375,300000,0.0005702787893824279
