# {"t_start": 1703400718.390107, "env_id": null} 
r,l,t
-27164.0,7902,259.934768
151538.0,5754,434.649797
-17887.0,6076,624.107083
162551.0,7921,876.933245
106509.0,5335,1049.068537
818117.0,6138,1249.253003
-20589.0,6244,1454.083323
305568.0,7720,1706.639715
157136.0,5145,1876.493181
548694.0,7433,2121.267776
149189.0,5139,2290.821665
172602.0,7153,2527.315397
216983.0,6627,2745.863119
496607.0,6236,2953.347989
-11444.0,7024,3186.082589
-7760.0,4799,3346.198861
368912.0,6623,3565.077301
-67937.0,6471,3780.139298
371342.0,5700,3968.311149
159856.0,4963,4131.860078
160087.0,7126,4368.766083
48132.0,7210,4608.397187
-5863.0,5634,4795.331442
217712.789994,7275,5035.969568
111017.0,5276,5208.075691
337193.339861,6086,5409.194337
398207.250201,7744,5664.650945
210850.269681,9505,5977.888635
48854.479848,9444,6284.964321
43646.429887,7618,6535.669262
52450.0,7603,6786.076557
45053.0,5894,6977.548587
525444.429834,7529,7224.385858
423598.819709,10000,7547.104892
182057.519834,9253,7846.714668
360125.950107,10000,8171.039519
5750.0,6112,8372.076877
367959.589694,9170,8668.147373
57757.519861,7313,8907.62051
389771.280229,7941,9167.047084
196497.400077,8620,9446.036186
324261.459985,7415,9687.369134
412075.130053,8319,9956.68273
353195.639999,5973,10153.1363
224387.609886,8581,10431.644299
188529.519858,6679,10650.105216
54074.0,5810,10838.489729
177453.519861,6630,11053.899423
48222.0,6563,11267.208226
7185.599996,6501,11477.471694
6522.33986,7172,11710.121333
191529.659876,7636,11957.988636
30415.679668,9039,12252.459004
726578.970215,6365,12458.964971
185506.039692,8502,12733.419415
190320.269709,9784,13049.381403
139633.370066,7785,13302.745439
189608.130083,7686,13551.990773
181490.03969,9077,13842.817644
241656.219992,8902,14130.311257
229289.949745,9874,14448.256569
184978.360067,9028,14737.567285
517809.309721,8306,15005.336794
527474.76976,8265,15271.510395
227970.769695,9355,15571.394015
55107.98,6229,15772.7177
395501.250146,7930,16028.513906
210582.069889,6444,16236.952335
24210.409689,10000,16605.148858
221071.550013,6224,16807.216028
239845.509871,8136,17069.304252
195213.540096,7924,17326.436169
354715.219831,7865,17580.389419
202025.410059,7427,17820.198326
220792.009899,7831,18072.046588
-13076.190015,6702,18288.439407
37274.66018,6255,18490.140311
204390.249887,9330,18790.997556
57274.519861,7071,19019.629528
7222.680062,10000,19340.940036
398802.250193,7534,19585.812345
248021.039745,8118,19849.246887
195838.609891,6934,20073.220467
227048.519861,8347,20341.897129
230224.950026,8546,20617.435162
525960.410123,9584,20925.721427
53526.389845,7524,21168.412164
56384.550021,9222,21467.780044
33425.130039,9850,21784.600853
348221.000039,9704,22098.627094
192780.219749,10000,22419.227397
200419.85975,9825,22735.680037
