# {"t_start": 1702627841.0406806, "env_id": null} 
r,l,t
241655.0,1921,103.755787
259995.0,1553,191.106752
245660.0,1117,244.562596
353345.0,1283,309.832059
409505.0,1279,379.949871
514570.0,960,433.310676
402395.0,904,482.450419
365140.0,906,532.271757
406775.0,893,581.519031
476515.0,1177,646.421954
455865.0,1084,708.14839
344930.0,1035,765.507847
403885.0,958,818.054784
398935.0,1036,877.10203
391465.0,972,933.043215
466695.0,1074,992.426367
419285.0,1133,1057.24755
365380.0,1037,1115.90854
362775.0,1006,1171.967323
360640.0,1016,1229.009832
399500.0,1038,1286.056333
345055.0,948,1340.267815
413460.0,1079,1398.915543
344940.0,1002,1454.363179
423695.0,1058,1512.509815
564945.0,1322,1584.212297
459425.0,1021,1640.551223
552465.0,1085,1703.856457
415455.0,1047,1761.728134
517165.0,1045,1820.254938
344120.0,965,1876.020393
392060.0,937,1928.724679
478925.0,1083,1990.422499
449300.0,1035,2048.185834
449155.0,1137,2111.00808
413160.0,1067,2169.111084
402035.0,1050,2227.413497
473800.0,1022,2283.528004
460835.0,1026,2340.237841
417420.0,1003,2395.97121
507785.0,1096,2455.377714
512630.0,1132,2520.221085
287220.0,738,2562.770771
358205.0,1094,2625.868718
406785.0,1054,2684.628015
344520.0,962,2737.750389
558880.0,1071,2799.866438
275975.0,739,2840.196993
393090.0,905,2894.099097
347595.0,753,2933.804018
382475.0,869,2985.048743
383740.0,907,3036.922318
354710.0,915,3088.087326
444000.0,985,3145.10931
277430.0,716,3186.926111
341970.0,731,3226.503834
452890.0,910,3280.238657
394955.0,866,3326.84793
385100.0,957,3382.623162
446355.0,1096,3442.274978
406840.0,992,3499.61606
407580.0,993,3556.274559
369855.0,744,3598.406168
400895.0,1004,3656.231363
361100.0,785,3700.085523
413775.0,1003,3757.575446
355865.0,796,3802.222086
274945.0,793,3846.886954
560900.0,1036,3904.699456
411445.0,1042,3963.863795
276795.0,753,4006.858327
458250.0,1020,4065.166256
408925.0,1041,4124.318975
429550.0,1008,4180.919877
405895.0,1040,4238.780936
334570.0,924,4290.544497
411310.0,1043,4351.962432
466945.0,992,4405.506353
399140.0,986,4461.760225
554820.0,1214,4529.060181
361390.0,1014,4586.576979
421620.0,1118,4650.803755
340855.0,843,4699.430886
263925.0,743,4742.399795
355360.0,1064,4800.496022
403545.0,1017,4858.203089
407975.0,784,4902.107325
402480.0,782,4946.682878
383395.0,995,5002.994083
350680.0,1015,5061.280099
514025.0,1067,5120.581872
395885.0,991,5177.47372
334385.0,990,5234.414156
355315.0,1077,5293.852828
423005.0,1074,5352.702522
402275.0,1029,5410.488111
666285.0,10000,5963.544325
398285.0,994,6019.985528
409315.0,1027,6078.131221
257100.0,753,6121.320177
501670.0,959,6177.306351
410540.0,1028,6235.082881
354040.0,1023,6293.043265
403000.0,999,6347.164155
514535.0,1093,6409.8685
363460.0,1070,6469.497931
426890.0,1050,6530.693704
401200.0,912,6581.237378
418795.0,952,6633.564969
368575.0,1039,6691.893097
373255.0,1014,6749.464198
447440.0,975,6805.618294
