# {"t_start": 1702752009.5474575, "env_id": null} 
r,l,t
241394.0,1564,107.435147
224915.0,1471,205.46128
229379.0,1365,299.132308
382607.0,1383,396.679089
244631.0,975,464.343678
401350.0,1242,561.065136
449805.0,1145,643.573569
382850.0,1062,720.180176
392033.0,1039,793.884324
359430.0,934,863.609639
252735.0,859,923.073991
355035.0,909,989.093837
330215.0,957,1061.100879
261950.0,832,1119.426076
401840.0,888,1184.173156
488844.0,974,1255.540551
376084.0,1055,1330.66818
329632.0,1026,1403.904606
378644.0,979,1476.020819
266600.0,821,1534.235498
430124.0,978,1606.616531
342665.0,849,1670.141028
341115.0,862,1730.803339
333785.0,841,1794.840627
396353.0,1119,1877.659423
248700.0,753,1933.573841
374811.0,1049,2010.852162
252405.0,754,2066.416649
254945.0,769,2123.81132
381943.0,1034,2198.088342
255970.0,780,2254.564438
370922.0,936,2320.073925
257985.0,737,2374.545264
247640.0,734,2429.695416
248350.0,798,2487.509388
262445.0,751,2542.42414
386275.0,840,2602.34208
405235.0,828,2665.244736
251340.0,737,2717.228634
347855.0,796,2778.679678
233935.0,761,2835.091696
262155.0,753,2890.392889
378347.0,960,2959.18381
450588.0,1088,3040.419157
348758.0,1044,3116.557859
335588.0,1050,3192.234405
452603.0,1046,3268.212747
330273.0,1000,3342.621488
457588.0,1018,3417.215167
245785.0,716,3467.895735
255875.0,756,3523.187378
365833.0,1040,3598.96353
344563.0,993,3673.634962
325227.0,936,3745.750504
349985.0,773,3802.186649
255695.0,769,3858.779133
252435.0,752,3911.310982
326864.0,1018,3986.525499
379080.0,916,4056.330905
382620.0,1012,4127.7804
226980.0,735,4182.871955
247245.0,728,4238.024028
248625.0,770,4293.974994
277250.0,747,4349.375483
402970.0,814,4408.107504
432578.0,989,4482.118578
233295.0,752,4537.834926
427487.0,983,4608.287611
338905.0,780,4665.346444
266940.0,776,4727.136354
330835.0,793,4784.042482
343560.0,838,4843.097545
422861.0,976,4916.2961
332055.0,786,4973.494137
