# {"t_start": 1702673770.5580146, "env_id": null} 
r,l,t
234910.0,2412,124.134842
234140.0,1936,234.660286
250390.0,1501,306.368952
237250.0,1923,424.334778
268955.0,1711,546.620267
382355.0,2166,701.447044
230745.0,1214,786.312776
232775.0,1248,876.286316
231490.0,1117,943.718053
235220.0,928,990.166731
277030.0,1887,1080.812412
240980.0,1336,1147.23615
228745.0,1039,1198.889397
402790.0,1554,1275.656546
241590.0,1335,1343.587709
247120.0,851,1384.532252
256500.0,1228,1447.604349
395990.0,1267,1511.170832
336455.0,1357,1577.014391
243770.0,1068,1632.926795
263225.0,1317,1698.403687
407735.0,1389,1768.810009
266390.0,1115,1825.977017
345060.0,1170,1884.775896
251960.0,721,1919.398692
239430.0,907,1965.332564
241605.0,960,2015.678072
268825.0,880,2060.099164
257090.0,1177,2118.702674
247525.0,1113,2175.555718
248845.0,1029,2226.889109
251505.0,1125,2280.740081
265855.0,1353,2348.961621
239410.0,1091,2405.038871
254710.0,791,2444.456621
235455.0,742,2481.935559
225865.0,880,2524.123336
229480.0,934,2572.979559
330005.0,1235,2632.8118
230025.0,727,2670.227287
235090.0,886,2715.276335
224080.0,805,2754.683681
240515.0,1275,2818.371129
228425.0,888,2863.103731
215045.0,930,2908.929481
249955.0,878,2953.704188
255875.0,1065,3008.76114
242465.0,1025,3059.868707
231640.0,780,3099.05257
229820.0,913,3144.652412
243290.0,1055,3195.744525
233035.0,1069,3249.144083
238285.0,833,3291.971579
232720.0,1038,3343.530504
317030.0,1283,3407.813191
232025.0,1032,3459.410439
217065.0,703,3495.804993
227810.0,811,3535.769399
222290.0,906,3580.737596
214325.0,1171,3637.913558
228360.0,884,3682.28153
229455.0,1064,3734.853626
226815.0,788,3776.926693
229845.0,779,3815.365577
223005.0,678,3848.776658
226915.0,937,3894.893652
221905.0,737,3932.374636
401175.0,1368,4001.959867
236120.0,1024,4053.328692
217815.0,921,4099.997422
215650.0,800,4139.120547
227820.0,769,4178.040975
325100.0,1253,4240.916838
235245.0,920,4287.073987
225890.0,888,4331.169652
228945.0,851,4375.328491
230585.0,838,4416.289432
236550.0,760,4454.290764
351705.0,1095,4510.928563
223610.0,869,4555.661849
234730.0,899,4600.82437
228740.0,883,4642.726182
230950.0,801,4684.911378
227370.0,857,4726.236978
225035.0,765,4764.505613
245685.0,905,4809.827439
229840.0,966,4860.135901
254705.0,665,4892.972692
233495.0,873,4937.572368
219630.0,740,4975.854411
230740.0,867,5020.110028
226780.0,884,5062.351208
245345.0,683,5098.654171
225350.0,838,5138.696866
236885.0,744,5177.078055
214545.0,769,5215.565037
205890.0,943,5264.92521
230405.0,751,5300.85449
316515.0,1072,5356.555125
228895.0,966,5403.328188
244125.0,901,5448.367153
234035.0,844,5492.064671
278070.0,757,5530.974001
228840.0,775,5569.992534
218320.0,698,5604.224033
