eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,57,4.2342063e-07,0.0,6.148468,-0.0004438743,5.084265e-07,-2.0574769973754883,1,128,8.883886994997738,512
nan,nan,89,1.7489145e-06,0.0,6.148467,-0.0007979274,1.8290032e-06,0.3287889361381531,2,256,14.60622088600212,1024
nan,nan,69,1.6989716e-05,0.0,6.1484323,-0.001899026,0.014639629,-0.0017566680908203125,3,384,21.95258397800353,1536
nan,nan,60,0.00057227036,0.022460938,6.147679,-0.0104308305,1.4915717e-05,0.01911294460296631,4,512,30.420824856002582,2048
nan,nan,55,0.005179399,0.37158203,6.132665,-0.016332729,0.008398432,-0.0017583370208740234,5,640,39.636184123999556,2560
nan,nan,83,0.0027044928,0.18652344,6.134887,-0.024171919,0.033393215,-0.0003236532211303711,6,768,45.74779649300035,3072
nan,nan,77,0.0029789836,0.20263672,6.106822,-0.012948509,1.5101571,1.5020370483398438e-05,7,896,52.36072764600249,3584
nan,nan,84,0.0018627173,0.13134766,6.11899,-0.018882215,4.932506,0.0006765127182006836,8,1024,58.4524061589982,4096
nan,nan,85,0.0023456896,0.16113281,6.0997868,-0.011974416,2.212578,0.00011855363845825195,9,1152,64.47102706300211,4608
nan,nan,85,0.0014331834,0.076660156,6.0985136,-0.014726631,4.2816243,0.00029462575912475586,10,1280,70.49271987399698,5120
nan,nan,86,0.0014393256,0.080078125,6.08569,-0.018321993,3.086243,-1.2636184692382812e-05,11,1408,76.44069389200013,5632
nan,nan,83,0.002417355,0.14746094,6.0768294,-0.020633355,8.282199,0.0016731619834899902,12,1536,82.5618908519973,6144
nan,nan,82,0.0027717475,0.1694336,6.0556,-0.019151328,3.1233344,-0.0016304254531860352,13,1664,88.77359170300042,6656
1676.0,229305.0,84,0.0013408188,0.068359375,6.048743,-0.015239985,0.82363194,0.0004240274429321289,14,1792,94.82763697399787,7168
1766.0,227492.5,85,0.0011640037,0.052734375,6.036969,-0.014051156,4.254687,0.00018578767776489258,15,1920,100.78311730200221,7680
1766.0,227492.5,85,0.0010022796,0.046875,6.0258822,-0.013608747,4.4438696,0.0005106925964355469,16,2048,106.80708954000147,8192
1766.0,227492.5,78,0.0010151936,0.04345703,6.0041337,-0.012514142,2.2964244,0.0009216070175170898,17,2176,113.33811215699825,8704
1766.0,227492.5,88,0.00093767466,0.038085938,5.9916854,-0.012631256,4.3807735,-0.00037741661071777344,18,2304,119.13310718799767,9216
1981.3333333333333,229965.0,85,0.0008512349,0.034179688,5.979972,-0.012100364,3.5450392,-0.00017499923706054688,19,2432,125.1175521710029,9728
1981.3333333333333,229965.0,72,0.00089408713,0.033691406,5.977817,-0.011329009,1.8687463,-0.0008697509765625,20,2560,132.17123284200352,10240
1981.3333333333333,229965.0,60,0.0016896464,0.06738281,5.9601545,-0.015430933,1.732767,-9.036064147949219e-05,21,2688,140.64099723200343,10752
1981.3333333333333,229965.0,55,0.0010425623,0.03564453,5.9484043,-0.012226328,2.1241295,-0.0004922151565551758,22,2816,149.8682407410015,11264
2200.75,229086.25,54,0.0012467362,0.05517578,5.9126606,-0.0144999195,3.4564004,-0.0017025470733642578,23,2944,159.21526867800276,11776
2200.75,229086.25,58,0.0012803184,0.052246094,5.8952394,-0.014652099,2.181093,0.0009711384773254395,24,3072,167.94834195000294,12288
2200.75,229086.25,57,0.0015328513,0.09423828,5.8793287,-0.01666311,4.3610597,-0.001264810562133789,25,3200,176.8374814609997,12800
2200.75,229086.25,81,0.0012830263,0.0546875,5.862344,-0.012940964,2.1841314,0.00026911497116088867,26,3328,183.08242987700214,13312
2200.75,229086.25,87,0.0017991981,0.09375,5.8441024,-0.014208736,5.846925,-0.003282308578491211,27,3456,188.9577411249993,13824
