# {"t_start": 1702791838.2904952, "env_id": null} 
r,l,t
672000.0,4037,215.487198
673550.0,3500,411.347095
652020.0,4278,629.912213
686530.0,4037,799.903724
667630.0,3331,949.355348
781765.0,4624,1137.365991
811760.0,5087,1345.952387
685035.0,5912,1624.477318
681850.0,3717,1799.036258
745675.0,4376,2083.750616
745840.0,4303,2344.359247
743615.0,4297,2605.065521
763530.0,3928,2828.724691
811685.0,4406,3058.090819
717440.0,4085,3270.570532
652895.0,3144,3460.43291
681335.0,3155,3655.224483
606765.0,2612,3818.810911
836260.0,4865,4118.071806
767815.0,4281,4382.570134
990710.0,4470,4646.713658
699850.0,2746,4779.515936
717205.0,3316,4942.26976
898770.0,3676,5123.520955
742680.0,3396,5286.083239
801895.0,3018,5435.106312
758625.0,2928,5579.847692
872430.0,3050,5726.937355
792015.0,2628,5854.46715
712695.0,2563,5982.332199
725070.0,2681,6112.283868
769805.0,2810,6250.772777
767855.0,3277,6411.959874
764175.0,2702,6544.481621
812245.0,2693,6676.891188
758730.0,2587,6805.52024
772890.0,2667,6937.059216
792950.0,2508,7058.924972
794785.0,2188,7165.62201
767810.0,3075,7317.044113
793165.0,2983,7459.356349
831455.0,2793,7594.746818
757630.0,3669,7769.424127
813450.0,3149,7922.82579
774150.0,2362,8040.461396
828600.0,2337,8152.814853
767650.0,2779,8286.027414
885190.0,2271,8394.144207
755915.0,2646,8521.581356
863645.0,2553,8646.460296
795440.0,2687,8775.454615
791815.0,2181,8880.866369
769855.0,2335,8994.001474
829320.0,2371,9109.372996
831900.0,2416,9225.641127
802260.0,2743,9355.823714
813970.0,2088,9454.899245
816185.0,2114,9556.931172
781200.0,2322,9667.997307
893340.0,3199,9823.726375
847305.0,2342,9937.89472
739700.0,2679,10067.104479
760315.0,2306,10179.248482
801575.0,2344,10290.97859
778495.0,2344,10405.985665
809805.0,2511,10524.947637
888860.0,2395,10641.873604
786845.0,3178,10794.315656
842300.0,2978,10938.745302
872930.0,2582,11062.311827
815255.0,2410,11178.231182
794635.0,2342,11293.540454
833050.0,2104,11393.857201
751160.0,2672,11522.961603
842460.0,2328,11633.566932
784290.0,3084,11782.108609
868450.0,3287,11940.882324
824080.0,2369,12053.541548
760290.0,2386,12169.747602
773070.0,2352,12282.029895
859930.0,2254,12390.927703
772190.0,2808,12672.687187
798900.0,2212,12749.652263
824860.0,3753,12878.858305
741325.0,2586,12968.093629
800525.0,2364,13049.607799
813925.0,3151,13158.615397
825160.0,2423,13243.253232
881430.0,2629,13334.637569
886750.0,2637,13426.088473
811935.0,2643,13517.72201
848125.0,2556,13606.717566
782150.0,2351,13688.238734
835825.0,2285,13767.382102
822890.0,2385,13850.663161
858915.0,2495,13937.19298
857235.0,2388,14020.72744
771355.0,2208,14096.885291
743790.0,2693,14190.097234
786810.0,2302,14269.92156
817135.0,2257,14348.428061
743675.0,2712,14441.97863
817680.0,2267,14520.352356
808490.0,2249,14597.630858
750650.0,2465,14683.844256
785585.0,2927,14784.473678
752400.0,2339,14866.175559
783910.0,2696,14959.954152
775975.0,2309,15040.578413
794920.0,2593,15130.266912
788290.0,2331,15211.670366
813170.0,2355,15293.982782
931615.0,2879,15393.474813
865035.0,3463,15514.267342
828700.0,2533,15601.460441
755715.0,2781,15697.103885
754375.0,2740,15791.672032
852435.0,2599,15881.565528
748900.0,2940,15983.51625
758285.0,2452,16071.359791
759890.0,2977,16175.184989
892515.0,2416,16262.012029
790455.0,2242,16340.869017
789685.0,2181,16416.62325
772425.0,2379,16499.519917
808265.0,2454,16584.847654
848245.0,2601,16675.756061
797900.0,2351,16757.071308
763240.0,2664,16849.953995
760750.0,2562,16939.445545
768885.0,2804,17035.385993
802545.0,2162,17110.346395
763450.0,2398,17193.881078
759425.0,2240,17271.60564
726645.0,2333,17351.727715
881690.0,1993,17421.479218
856865.0,2058,17493.462986
791035.0,2339,17575.476064
830630.0,2298,17655.89881
758745.0,2322,17735.839631
815700.0,2812,17833.369224
777160.0,2392,17917.084846
875940.0,2628,18008.544809
817865.0,3891,18143.543642
838965.0,2607,18233.822827
787935.0,2056,18305.245638
795870.0,2353,18387.619906
806030.0,3245,18499.992835
893860.0,3258,18611.511936
877740.0,2308,18691.749293
748810.0,2567,18781.386099
773585.0,2412,18864.753062
818140.0,2393,18948.417362
917190.0,2784,19045.097556
768900.0,2359,19127.092633
817870.0,2566,19216.831648
827015.0,3381,19334.322288
832105.0,2612,19424.141876
807505.0,2703,19518.410716
806820.0,2344,19600.147993
874140.0,3231,19712.626112
844500.0,2618,19802.691393
757335.0,2568,19892.26312
817990.0,2858,19990.78423
807300.0,2247,20068.37066
840230.0,3228,20180.218737
806670.0,2371,20261.421419
757080.0,2737,20356.965884
738245.0,2824,20454.854777
764605.0,2149,20529.886178
852955.0,2400,20613.42907
744970.0,2272,20692.525584
779605.0,2435,20777.163936
758825.0,2394,20859.570649
785710.0,2550,20948.439317
813400.0,2875,21048.058022
818365.0,2789,21144.442472
746025.0,2437,21229.505837
803925.0,2414,21314.111065
768495.0,2275,21393.18651
762835.0,2376,21476.929178
785655.0,2798,21573.523019
808920.0,2798,21670.319656
776445.0,3371,21785.396588
815310.0,2498,21870.687041
855790.0,3218,21981.202314
825085.0,2354,22061.128834
859195.0,2704,22154.313788
870795.0,2655,22245.449411
773940.0,3251,22357.503622
852105.0,2360,22439.467052
751225.0,2935,22540.2641
777950.0,2517,22626.363869
765105.0,3506,22747.045885
755365.0,2427,22830.391683
872715.0,2338,22911.158249
759800.0,2284,22990.299485
866575.0,2359,23071.108198
875290.0,2932,23172.06347
904960.0,2325,23251.98434
832690.0,2386,23333.963548
766195.0,3224,23444.400961
776410.0,2838,23541.301751
772895.0,2309,23621.404627
814135.0,2692,23713.550997
812460.0,2801,23809.993164
758445.0,2363,23891.333023
834560.0,3537,24012.297006
748505.0,2462,24096.702886
804635.0,2470,24181.511524
791700.0,2524,24268.620384
823225.0,2394,24351.061191
817225.0,3412,24467.70736
819395.0,2426,24550.737087
777120.0,2774,24646.018449
777310.0,2578,24733.987931
839795.0,2225,24811.28483
827395.0,2396,24893.052861
717735.0,2830,24989.527753
773975.0,2325,25070.619085
832155.0,3009,25173.709931
753140.0,2652,25264.346421
824295.0,2775,25359.214306
766440.0,2359,25439.684361
803070.0,2693,25531.463655
770845.0,2642,25621.84132
827425.0,2485,25707.979584
815980.0,2329,25787.528528
808645.0,2302,25866.876222
908615.0,3351,25982.127549
763085.0,2256,26059.252751
874630.0,3180,26168.212471
830120.0,2726,26261.856004
812765.0,2493,26347.391294
760015.0,2778,26443.971602
764615.0,2077,26515.293597
869060.0,2516,26602.118967
804710.0,2753,26696.921268
800270.0,2668,26788.744085
873570.0,2225,26865.303615
765805.0,3019,26970.056652
763915.0,2257,27047.875876
754725.0,2311,27127.617458
779375.0,2387,27209.424659
826930.0,2072,27280.461433
773795.0,2342,27361.373355
825980.0,2410,27443.612164
871430.0,2842,27541.630682
876215.0,3246,27652.828156
800860.0,2175,27728.117255
782035.0,2268,27806.2517
756160.0,2685,27898.72282
829650.0,2439,27982.436271
817625.0,2235,28058.99397
765975.0,2367,28140.810484
767120.0,2619,28231.201216
768210.0,2581,28319.523029
763610.0,2500,28406.239622
767420.0,2414,28488.216131
843185.0,2343,28569.003338
768910.0,2549,28656.998498
795385.0,2493,28742.661624
874980.0,2796,28838.742772
851550.0,2733,28932.653286
817860.0,2617,29022.494216
829695.0,2756,29118.131114
801540.0,3052,29221.83878
814845.0,2591,29311.005239
792435.0,2304,29390.551236
838710.0,2697,29484.560504
828605.0,2685,29577.143768
826980.0,2171,29651.352196
741970.0,2724,29745.196312
821375.0,2318,29824.694527
765305.0,2097,29897.202431
827630.0,2447,29981.591389
846290.0,3404,30098.253781
802625.0,2806,30193.510953
863660.0,2245,30270.577318
826540.0,2043,30340.761407
855560.0,2347,30422.358342
824070.0,2685,30514.552124
799145.0,2510,30600.414544
750910.0,2360,30681.514344
844470.0,2412,30764.498342
827135.0,2420,30847.68008
808030.0,2623,30937.652208
768900.0,2389,31019.978989
801525.0,2413,31102.65149
764205.0,2955,31203.683804
731465.0,2655,31295.486882
834255.0,2764,31390.946984
771455.0,2436,31474.524261
803935.0,2610,31564.785764
766135.0,2700,31657.758183
781225.0,2562,31745.869675
767665.0,3067,31850.807858
827355.0,3620,31975.339916
815775.0,2277,32053.697319
843760.0,2854,32150.890508
755790.0,2564,32239.362382
870545.0,2848,32337.011164
765595.0,2328,32416.779709
823525.0,3751,32544.036044
795045.0,2421,32627.484701
820020.0,2351,32707.9252
867625.0,2447,32791.625877
824885.0,2475,32877.243601
788345.0,2087,32949.6922
787580.0,2258,33027.97981
918475.0,2374,33109.529469
886925.0,3628,33233.821209
766360.0,2513,33321.029494
772020.0,2637,33411.733564
791215.0,2298,33490.815817
812385.0,2792,33594.223618
852290.0,2549,33682.477908
870820.0,2914,33782.55766
786230.0,2333,33862.674788
774640.0,2408,33945.623367
794165.0,2427,34028.77836
820090.0,2692,34121.389791
774845.0,2703,34213.844059
776905.0,2358,34294.677281
812145.0,2230,34371.011531
918095.0,2661,34462.745116
836945.0,2254,34540.342008
744185.0,2888,34639.437323
839785.0,2487,34724.707394
811755.0,2665,34815.586331
771685.0,2351,34896.721901
752960.0,2985,34999.104212
765430.0,2891,35100.975687
740600.0,2667,35193.235037
862760.0,2268,35271.275735
789545.0,3836,35402.574112
759440.0,2251,35480.290918
847080.0,2597,35569.639727
840100.0,2111,35642.725863
797295.0,2003,35712.371279
827880.0,2753,35806.797824
771090.0,2352,35887.528044
822840.0,2325,35967.073161
823780.0,2845,36065.05273
820355.0,2784,36160.529976
787390.0,2833,36257.539785
749650.0,2390,36339.603779
792765.0,2364,36420.624776
763900.0,2674,36511.930203
766540.0,2230,36589.586683
807050.0,2735,36682.954033
756875.0,2312,36762.615382
773375.0,2424,36846.007531
852320.0,2876,36943.865702
812980.0,2661,37034.980589
807825.0,2636,37125.396547
813580.0,2623,37215.142667
884415.0,2305,37294.629615
768985.0,2766,37389.51143
879300.0,2675,37481.345144
754990.0,2724,37574.86562
870935.0,2690,37666.788808
832870.0,2677,37758.318456
790400.0,2791,37853.631433
761760.0,2668,37945.44635
799785.0,3441,38063.001113
760500.0,2465,38146.481929
758235.0,2142,38220.003088
835245.0,2331,38300.616827
760550.0,2104,38372.656318
803720.0,2627,38462.656787
872315.0,2605,38552.567165
815340.0,2341,38633.626101
813280.0,2338,38713.9597
773125.0,2416,38797.931868
761940.0,2499,38883.888236
754395.0,2638,38975.030886
758875.0,2346,39056.591983
812445.0,2359,39137.991
775270.0,2569,39226.658556
820320.0,2015,39296.355014
772235.0,2255,39373.590024
874260.0,2268,39451.548767
740005.0,2266,39529.402944
760395.0,3009,39633.373649
815920.0,2611,39723.719443
767570.0,2434,39807.113848
829410.0,2867,39904.767497
796445.0,2167,39978.92301
782765.0,2430,40064.046929
805420.0,2329,40144.994574
856780.0,2427,40230.110194
843400.0,2754,40325.851857
762470.0,2854,40424.448549
751255.0,2511,40511.009459
755045.0,2701,40603.797239
829375.0,2018,40673.141954
845465.0,3227,40783.934497
779820.0,2627,40875.126358
832650.0,3659,41001.515939
773210.0,3021,41105.279037
837165.0,2082,41177.408135
777245.0,2704,41270.262615
867470.0,2542,41357.611806
787155.0,2470,41441.852725
768625.0,2292,41520.933357
790915.0,2080,41593.04436
822040.0,2323,41673.028065
731000.0,3325,41786.286458
773220.0,3033,41891.871641
866615.0,2781,41986.643549
811430.0,2796,42083.022614
876305.0,2681,42175.644151
773335.0,2882,42275.321295
836070.0,2334,42355.82118
775485.0,2133,42429.821898
837715.0,2600,42521.35278
737690.0,2360,42603.886405
758565.0,2399,42687.460686
794085.0,2925,42789.269121
753380.0,2437,42873.343947
835810.0,2625,42965.78065
824055.0,2311,43049.125678
759550.0,2675,43145.249054
837990.0,2842,43246.051664
817980.0,2367,43331.769752
854825.0,2385,43417.116022
791230.0,2396,43504.600721
840715.0,2552,43600.287282
778055.0,2485,43691.168866
823505.0,3072,43801.119797
800990.0,2850,43903.134627
764095.0,3390,44024.475224
781130.0,2606,44120.022032
812835.0,2649,44218.025143
840710.0,2333,44307.38078
845255.0,2451,44397.527972
806595.0,2294,44483.576173
844370.0,3108,44595.838855
769060.0,2366,44683.011256
795325.0,2837,44785.823034
867500.0,2219,44867.50307
782255.0,2300,44952.614725
744600.0,2378,45040.350626
749310.0,2668,45138.982205
734930.0,2553,45236.560042
766850.0,2325,45322.303369
792955.0,2598,45415.958935
767205.0,2571,45511.02651
828400.0,2215,45592.628837
754560.0,2259,45677.459378
787450.0,3686,45812.148818
885500.0,2567,45905.737596
788955.0,2690,46004.425943
802345.0,2462,46094.903364
781380.0,2243,46176.114629
759185.0,2597,46270.796689
786680.0,2695,46370.365086
781180.0,2398,46466.046089
842155.0,2448,46574.594803
771605.0,2306,46679.651395
823040.0,2030,46773.419713
759480.0,2411,46886.754286
759930.0,2468,47001.656883
785490.0,2346,47109.958102
854095.0,2295,47217.258882
864545.0,2586,47341.21319
783945.0,2612,47461.302004
777440.0,2264,47568.405332
805360.0,2442,47683.079626
924595.0,3251,47835.72906
828790.0,2536,47951.362904
838445.0,2301,48054.416245
854985.0,2342,48162.069692
755615.0,2440,48276.143678
788125.0,2870,48410.851534
819730.0,2630,48535.400827
815850.0,2352,48646.518049
829450.0,2705,48774.545888
772375.0,2288,48867.13674
808885.0,2821,48961.887246
771090.0,2367,49067.670708
884650.0,2773,49190.386883
862355.0,2820,49312.627463
779550.0,2201,49405.258592
812565.0,2880,49523.366654
830770.0,2788,49646.621613
838675.0,2843,49768.158835
774845.0,2601,49875.230368
794035.0,2424,49977.822714
830755.0,2873,50092.748002
795075.0,2806,50201.243163
775585.0,2626,50289.817716
821250.0,3341,50403.617397
758135.0,2405,50486.073637
821865.0,2359,50564.865227
764475.0,2634,50649.77148
853215.0,2822,50741.419652
830330.0,2507,50825.043828
776090.0,2799,50916.26589
820250.0,2432,50995.840914
763585.0,2176,51067.828647
773835.0,2357,51148.662708
853355.0,2983,51263.181474
851485.0,2880,51404.375517
763020.0,2425,51527.728276
773660.0,2594,51653.441286
811835.0,2231,51768.011514
738910.0,2538,51910.174147
755115.0,2056,52033.510987
786875.0,2714,52196.715506
748555.0,2236,52334.474124
836225.0,2842,52511.991377
827610.0,4035,52764.384695
771265.0,2282,52908.996781
826515.0,2569,53056.100716
823535.0,2680,53178.858097
790710.0,2585,53299.060743
826340.0,2594,53418.622445
797015.0,2290,53522.281504
769705.0,2672,53644.174665
869625.0,2651,53763.571129
872565.0,2266,53868.294077
771500.0,2481,53977.177566
768805.0,2814,54104.444526
763840.0,2744,54224.99115
748575.0,2375,54333.470887
784175.0,3307,54474.928616
801700.0,2421,54581.848401
869690.0,3347,54730.527225
769655.0,2322,54832.612148
856735.0,2596,54945.462449
780970.0,2627,55066.090495
776485.0,2177,55160.84538
810525.0,2483,55267.090878
826240.0,2566,55382.147381
784575.0,2783,55506.868607
765385.0,2394,55618.419173
839450.0,2309,55719.910538
827340.0,3424,55866.231832
758085.0,2751,55986.308801
747865.0,2140,56080.43748
750290.0,2416,56188.074115
910140.0,3130,56326.299815
876370.0,2402,56432.521729
799965.0,2755,56554.655359
765560.0,2602,56670.575729
821065.0,2591,56781.766663
742625.0,2750,56904.707252
762090.0,2742,57023.46387
777335.0,2430,57130.565085
779810.0,2844,57256.001352
824655.0,2756,57374.195367
813415.0,2798,57498.848673
800415.0,2307,57599.89527
788005.0,2973,57729.868635
840210.0,2848,57854.201306
762395.0,2196,57947.508063
769445.0,2341,58050.43762
759235.0,2413,58156.848953
847125.0,3080,58293.027791
767365.0,2380,58395.612239
772170.0,2993,58529.308847
786055.0,2327,58636.841216
827535.0,2780,58763.211591
877160.0,2658,58884.094967
838260.0,2775,59010.667822
796140.0,2328,59118.208589
837735.0,2278,59224.802675
772505.0,2271,59330.09883
806485.0,2426,59440.917732
759980.0,2378,59550.901725
744645.0,2619,59667.920817
777295.0,2552,59786.673758
759255.0,2668,59909.120147
820930.0,2623,60026.920974
809805.0,2566,60145.425381
796415.0,2303,60252.663775
836850.0,3279,60399.09787
794825.0,2235,60499.965768
843615.0,2316,60604.850359
823305.0,2377,60716.654449
757465.0,2378,60823.413578
796185.0,2482,60933.491739
777490.0,2685,61056.56167
792680.0,2787,61181.200902
836270.0,2293,61285.576799
810735.0,2260,61390.505448
813660.0,2528,61505.509765
802765.0,3162,61643.175724
823200.0,2741,61758.698221
905495.0,3490,61903.563104
819935.0,3349,62040.519549
823260.0,2735,62146.189833
766745.0,2284,62240.546979
857130.0,2749,62348.744132
772160.0,2989,62459.635146
842645.0,2390,62550.94538
769985.0,2757,62657.675965
761940.0,2250,62740.533615
729980.0,2636,62837.241554
810805.0,2335,62924.236146
778780.0,2345,63010.30465
742590.0,3154,63126.778722
776420.0,2366,63215.080769
812545.0,2277,63301.183013
777475.0,2663,63402.843748
746505.0,2389,63496.222826
830670.0,2586,63594.196222
828325.0,2662,63697.545979
797750.0,2297,63786.535104
748525.0,2327,63877.65145
848760.0,3146,64001.694376
764190.0,2749,64100.356756
746435.0,2370,64187.039488
820360.0,2214,64266.936606
775495.0,2305,64351.488194
825850.0,2479,64447.907124
825695.0,2420,64538.141475
776070.0,2802,64644.374067
821710.0,2254,64726.328384
839985.0,2643,64822.9178
779170.0,2644,64919.463147
795820.0,2103,64999.422869
742970.0,2392,65090.898813
801855.0,2817,65193.153736
847490.0,3530,65321.387875
804760.0,3019,65433.765703
807250.0,2498,65527.800501
768010.0,2411,65619.681283
903760.0,2660,65721.253207
844015.0,2628,65817.661639
773245.0,2373,65905.540538
782840.0,2390,65992.938973
783410.0,2799,66097.012788
749405.0,2052,66175.035473
755355.0,2089,66253.552525
865745.0,2419,66346.313303
784600.0,2710,66446.570875
756500.0,3153,66558.837038
831945.0,2347,66654.887651
775340.0,2622,66776.363919
747140.0,3097,66919.492641
773920.0,2378,67015.611283
802120.0,2668,67142.527961
829425.0,2615,67264.639516
856715.0,3080,67417.197042
803815.0,2630,67547.218037
804590.0,2622,67674.163553
874880.0,2343,67789.407551
778040.0,2275,67897.988553
799595.0,2392,68005.63251
758300.0,2592,68133.04668
768670.0,2954,68276.64272
748125.0,2859,68413.779478
822590.0,3209,68564.958335
846340.0,2644,68685.808014
838180.0,2219,68786.243732
780865.0,2315,68887.464018
762395.0,2867,69018.627184
861785.0,2534,69136.603226
768545.0,2749,69261.273707
736550.0,2366,69366.331295
806205.0,2752,69487.838178
799070.0,2631,69607.70934
757175.0,2153,69703.134578
846075.0,2567,69817.933738
823575.0,2179,69917.816765
749745.0,3356,70068.612886
795345.0,2526,70183.157521
790890.0,2159,70279.650004
813000.0,2400,70389.159337
787185.0,2407,70498.69995
838710.0,2394,70603.674773
807300.0,3049,70740.301907
771965.0,2346,70842.826479
807340.0,2522,70956.087888
732025.0,2770,71078.204926
805740.0,2718,71199.179232
801305.0,2323,71301.799094
890790.0,2923,71434.529977
745845.0,2849,71562.336893
827270.0,2946,71697.709425
832300.0,3020,71828.946449
902780.0,2303,71928.353064
762445.0,2559,72037.471548
830815.0,2653,72152.854121
739415.0,2306,72256.143056
820140.0,2558,72368.205146
737795.0,2420,72472.868855
843160.0,2083,72560.9142
773690.0,2327,72658.613113
834965.0,2688,72773.90001
880810.0,2599,72886.296283
863220.0,2628,72999.278466
758550.0,2463,73106.850777
764205.0,2106,73201.76882
811400.0,2093,73293.929936
764280.0,2444,73401.193827
888275.0,2350,73509.92744
836775.0,2695,73625.046805
778775.0,2710,73740.188919
830940.0,2618,73851.401452
874775.0,2406,73955.593254
821000.0,2663,74072.545215
813545.0,2652,74188.076303
837510.0,2753,74308.695609
816110.0,2183,74405.794774
775905.0,2384,74508.817064
771130.0,3178,74644.622895
841210.0,2133,74737.538494
775075.0,2191,74829.8808
764730.0,2606,74940.575102
812330.0,2366,75041.473024
765985.0,2485,75149.806087
721375.0,2040,75238.555518
834155.0,2618,75352.92058
739615.0,2254,75450.835832
800640.0,2422,75557.475898
795040.0,2323,75659.135109
759895.0,2870,75782.224914
807900.0,2491,75888.81052
839985.0,2269,75984.222492
810650.0,2335,76082.686405
898070.0,2683,76195.070085
770630.0,2394,76296.012746
875985.0,2483,76404.57111
810085.0,2860,76528.841828
755280.0,2717,76647.666961
815150.0,2528,76756.483949
824200.0,2236,76852.272263
835500.0,2344,76952.555454
804865.0,2734,77070.187921
820165.0,2194,77162.317179
788395.0,2444,77266.122382
858315.0,2302,77364.249675
873145.0,2732,77481.248734
718170.0,2411,77582.300982
767235.0,2253,77681.982774
802610.0,2928,77803.852802
761845.0,2658,77917.537383
804865.0,2327,78018.392951
762915.0,2526,78124.034156
764070.0,2655,78237.741911
809395.0,2211,78333.786986
821685.0,2671,78451.206561
817940.0,2774,78567.863751
944645.0,3030,78696.208928
794285.0,2335,78796.389094
822970.0,2639,78906.679255
868760.0,2745,79022.716631
785235.0,2382,79127.434443
786420.0,2364,79233.792692
803880.0,2858,79355.014431
832365.0,2733,79470.290527
871660.0,2661,79584.697791
735240.0,4626,79781.238847
771090.0,2883,79903.128486
845445.0,2723,80016.1616
832175.0,2440,80118.189337
791770.0,2345,80217.69369
768415.0,2441,80320.443749
788055.0,1967,80403.163443
754400.0,2376,80503.348942
829090.0,2772,80618.989206
828615.0,2330,80719.110108
759155.0,2233,80812.924483
770440.0,2562,80920.243549
751440.0,2703,81033.203099
756385.0,2282,81132.129771
771690.0,2245,81227.206494
760045.0,2815,81345.690484
866800.0,2429,81448.696632
732160.0,1998,81533.889788
801220.0,2412,81637.128388
793190.0,2224,81731.518275
806830.0,2325,81829.725801
766275.0,2768,81946.499291
867185.0,2011,82029.75567
829455.0,2365,82128.051946
810010.0,2109,82216.157796
827470.0,2287,82313.864153
767000.0,2615,82424.503892
738185.0,2441,82526.854192
811070.0,2294,82628.508662
