eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,42,4.3152022e-07,0.0,6.148468,-0.0004093953,5.5962016e-07,-5.608681678771973,1,128,12.08901605400024,512
nan,nan,63,1.274465e-06,0.0,6.1484675,-0.00059400557,0.008076636,0.002572774887084961,2,256,20.16766384500079,1024
nan,nan,66,2.255444e-05,0.0,6.1484365,-0.002528247,3.0486073e-05,0.017232656478881836,3,384,27.91576174797956,1536
nan,nan,76,0.0008954414,0.045898438,6.147225,-0.011843933,2.823472e-05,0.02810490131378174,4,512,34.572671678994084,2048
nan,nan,84,0.0038769708,0.3227539,6.132431,-0.020036116,1.4486148,0.0002855062484741211,5,640,40.61816311898292,2560
nan,nan,75,0.0016721694,0.106933594,6.1312413,-0.018596005,2.2560954,0.00012344121932983398,6,768,47.4281888929836,3072
nan,nan,78,0.0026595828,0.18066406,6.116317,-0.027091287,0.069836214,0.004143953323364258,7,896,53.924419400980696,3584
nan,nan,80,0.0013091161,0.072265625,6.109377,-0.014666034,4.2306695,-8.571147918701172e-05,8,1024,60.29549845997826,4096
nan,nan,78,0.0022865394,0.15429688,6.100121,-0.01644157,4.624715,5.8770179748535156e-05,9,1152,66.79415769097977,4608
nan,nan,79,0.0010744589,0.052734375,6.097026,-0.01384237,2.5845113,0.0007958412170410156,10,1280,73.24614869899233,5120
nan,nan,75,0.0010596162,0.059570312,6.088983,-0.012594601,2.3426917,-2.3484230041503906e-05,11,1408,79.98706526498427,5632
nan,nan,80,0.0008805096,0.044921875,6.0856466,-0.013180457,4.245952,-0.0002745389938354492,12,1536,86.31788649698137,6144
nan,nan,80,0.0028370554,0.16601562,6.061816,-0.01784937,0.40047655,0.0008710026741027832,13,1664,92.65486698498717,6656
nan,nan,81,0.0008154116,0.041503906,6.0553446,-0.012669592,2.7267845,0.0003199577331542969,14,1792,98.90308684698539,7168
nan,nan,75,0.00074867916,0.02734375,6.0536127,-0.011461038,1.9882342,-0.0017112493515014648,15,1920,105.67511805499089,7680
nan,nan,80,0.00087837176,0.03173828,6.0456386,-0.01203589,2.1188269,-0.0015063285827636719,16,2048,112.05706949299201,8192
nan,nan,81,0.0024504457,0.14355469,6.036165,-0.024270888,0.16458659,-0.008826255798339844,17,2176,118.33381351799471,8704
nan,nan,79,0.0016726146,0.09375,6.0026865,-0.011700511,4.4398184,-0.0034905672073364258,18,2304,124.77790596699924,9216
nan,nan,82,0.000718679,0.029296875,5.989058,-0.010863726,4.506523,-0.003889918327331543,19,2432,131.0089734189969,9728
nan,nan,75,0.00049141585,0.016113281,5.987142,-0.009075033,3.5962515,-0.0034180879592895508,20,2560,137.79788695598836,10240
nan,nan,65,0.0011262415,0.053222656,5.9813786,-0.012506902,3.7622156,-0.002112269401550293,21,2688,145.65402916798485,10752
nan,nan,63,0.0027377252,0.16308594,5.9512253,-0.019857995,7.931493,0.002720773220062256,22,2816,153.75831985697732,11264
nan,nan,66,0.0008412929,0.033691406,5.9500794,-0.010396086,3.0350873,-0.0035429000854492188,23,2944,161.42307995600277,11776
nan,nan,72,0.0009996259,0.045410156,5.9402227,-0.01288342,2.0887542,-0.0034754276275634766,24,3072,168.51276712099207,12288
nan,nan,77,0.0008702554,0.03857422,5.9397283,-0.0123337535,6.2022905,-0.007200002670288086,25,3200,175.08392044299399,12800
nan,nan,81,0.0016941883,0.10058594,5.9229,-0.011665391,8.976261,0.0003891587257385254,26,3328,181.33733747000224,13312
nan,nan,84,0.0014954787,0.07519531,5.9036536,-0.015125649,5.620001,-0.0068590641021728516,27,3456,187.42070765598328,13824
nan,nan,90,0.0012540038,0.0625,5.8739057,-0.0148134325,4.0009966,-0.010091781616210938,28,3584,193.06181530898903,14336
nan,nan,97,0.0023424593,0.11816406,5.8501062,-0.0126019,4.7224216,-0.00680994987487793,29,3712,198.3274811829906,14848
nan,nan,92,0.0051597822,0.26171875,5.832773,-0.022659808,7.906769,-0.002566814422607422,30,3840,203.8394783079857,15360
nan,nan,93,0.0024070567,0.13867188,5.832966,-0.015723895,3.991407,-0.005319476127624512,31,3968,209.30551820099936,15872
4037.0,672000.0,81,0.0018322698,0.11035156,5.8094616,-0.009877335,5.425557,-0.008451581001281738,32,4096,215.56585428697872,16384
4079.0,680510.0,64,0.0010057939,0.036621094,5.7792764,-0.010578771,5.3451786,-0.0035544633865356445,33,4224,223.52627719400334,16896
4079.0,680510.0,69,0.0038913656,0.15820312,5.8091774,-0.017063951,2.0527737,-0.0008300542831420898,34,4352,230.90433094999753,17408
4079.0,680510.0,70,0.0011513825,0.046875,5.787993,-0.01347266,5.7374134,-0.0018990039825439453,35,4480,238.17539321197546,17920
4079.0,680510.0,72,0.0023490898,0.12402344,5.754507,-0.013971182,5.8897004,-0.002689361572265625,36,4608,245.23224144699634,18432
4079.0,680510.0,74,0.0011589136,0.05419922,5.7372856,-0.012493466,2.2262266,-0.0029605627059936523,37,4736,252.1482667340024,18944
4079.0,680510.0,74,0.0022945357,0.12548828,5.7123632,-0.014161622,3.7442331,-0.0023038387298583984,38,4864,259.0320105929859,19456
4079.0,680510.0,71,0.0007742365,0.024902344,5.7064047,-0.008761585,3.6664493,-0.003041505813598633,39,4992,266.1732475559984,19968
4079.0,680510.0,70,0.002652198,0.14746094,5.6861663,-0.016102104,6.2133636,-0.0001647472381591797,40,5120,273.40312279897626,20480
4079.0,680510.0,72,0.0011847339,0.059570312,5.6607795,-0.011243125,3.8694382,-0.002459406852722168,41,5248,280.47666433098493,20992
4079.0,680510.0,74,0.0009893591,0.041503906,5.663756,-0.01322069,3.8856907,0.00016832351684570312,42,5376,287.3360840919777,21504
4079.0,680510.0,68,0.0014951376,0.072753906,5.6547,-0.0127842,1.831663,0.0005952119827270508,43,5504,294.8559997979901,22016
4079.0,680510.0,71,0.0013801076,0.061035156,5.6530123,-0.014175179,5.692479,-0.0023987293243408203,44,5632,301.99309950799216,22528
4079.0,680510.0,71,0.009682399,0.40283203,5.687412,-0.02399085,0.09512084,0.012712359428405762,45,5760,309.1964652549941,23040
4079.0,680510.0,72,0.0023424826,0.14746094,5.6568065,-0.0069536925,5.3131614,0.006101250648498535,46,5888,316.2572489499871,23552
4079.0,680510.0,71,0.0010472515,0.041015625,5.6517563,-0.011876584,3.0008545,0.009678781032562256,47,6016,323.38542722398415,24064
4079.0,680510.0,71,0.00078988285,0.020507812,5.6401587,-0.010560679,4.014059,0.013682365417480469,48,6144,330.5564900539757,24576
4790.0,688090.0,69,0.0009847536,0.040039062,5.6161475,-0.011841328,6.4076343,0.020194172859191895,49,6272,337.9604276570026,25088
4790.0,688090.0,70,0.0009116195,0.034179688,5.596897,-0.0061666206,6.9882793,0.004518866539001465,50,6400,345.2486275759875,25600
4790.0,688090.0,71,0.0011443066,0.05859375,5.571121,-0.015292149,2.4573474,0.005115866661071777,51,6528,352.4138941509882,26112
4790.0,688090.0,68,0.001767332,0.087890625,5.568161,-0.014105225,0.30734545,0.004176080226898193,52,6656,359.9061290319951,26624
4790.0,688090.0,72,0.0013348545,0.06298828,5.521176,-0.009668399,3.3939264,0.007169783115386963,53,6784,366.9409257529769,27136
4790.0,688090.0,71,0.00082972634,0.024414062,5.528208,-0.009927824,4.733801,0.0035611987113952637,54,6912,374.0770975939813,27648
4790.0,688090.0,73,0.003548012,0.1899414,5.524595,-0.020486258,0.1307706,0.021349608898162842,55,7040,381.0365158569766,28160
4790.0,688090.0,70,0.0019482663,0.13476562,5.460038,-0.009511354,5.734773,0.012692928314208984,56,7168,388.3251428020012,28672
4790.0,688090.0,69,0.0010221625,0.041992188,5.447491,-0.011440065,4.360346,-0.002790093421936035,57,7296,395.6735599899839,29184
4790.0,688090.0,66,0.0028046328,0.15527344,5.4356575,-0.007439999,7.2478676,0.012185513973236084,58,7424,403.3326579389977,29696
4467.5,684455.0,72,0.0012762683,0.056640625,5.402974,-0.010409856,3.0153933,0.010568976402282715,59,7552,410.4258107969945,30208
4467.5,684455.0,70,0.0010176509,0.04296875,5.410315,-0.009683461,5.4470277,0.014202296733856201,60,7680,417.67999255200266,30720
4467.5,684455.0,65,0.00067194237,0.020996094,5.4014955,-0.009733871,5.409526,0.00916987657546997,61,7808,425.4611003479804,31232
5148.8,701515.0,71,0.0011995821,0.061035156,5.3845863,-0.012017897,2.8912745,0.007563769817352295,62,7936,432.60376162600005,31744
5148.8,701515.0,73,0.003378463,0.14648438,5.3596716,-0.016072793,1.9269297,0.007426857948303223,63,8064,439.5690373699763,32256
5148.8,701515.0,74,0.0026665053,0.12597656,5.309923,-0.0085873,3.714401,0.009598731994628906,64,8192,446.45046013599494,32768
5148.8,701515.0,74,0.004327883,0.21679688,5.24761,-0.014207492,2.0130103,0.0016133785247802734,65,8320,453.2966094369767,33280
5148.8,701515.0,70,0.0017832872,0.09472656,5.1868114,-0.011522754,4.048416,0.01378011703491211,66,8448,460.52985317699495,33792
5148.8,701515.0,71,0.0036621299,0.19238281,5.2278247,-0.016813226,0.31514394,-0.003342866897583008,67,8576,467.7359791229828,34304
5148.8,701515.0,70,0.0016622511,0.088378906,5.183463,-0.009692387,5.2540407,0.015004336833953857,68,8704,474.96599232498556,34816
5148.8,701515.0,68,0.00096011325,0.030761719,5.1626153,-0.010921959,2.524425,0.005213916301727295,69,8832,482.4791881229903,35328
5095.833333333333,702081.6666666666,59,0.0014721225,0.068359375,5.1695457,-0.011958233,3.23454,0.007410228252410889,70,8960,491.08503301398014,35840
5095.833333333333,702081.6666666666,69,0.0018135117,0.104003906,5.1988153,-0.0125482045,3.4348998,0.020926296710968018,71,9088,498.4298972119868,36352
5095.833333333333,702081.6666666666,74,0.0071557215,0.30517578,5.2062526,-0.014911542,1.9110492,0.0037500858306884766,72,9216,505.318659009994,36864
5095.833333333333,702081.6666666666,76,0.0012792362,0.06933594,5.2011223,-0.0062271385,4.3466706,0.003940403461456299,73,9344,511.99930310598575,37376
5095.833333333333,702081.6666666666,61,0.002256974,0.1459961,5.14529,-0.01452828,5.532299,0.019204139709472656,74,9472,520.2642983440019,37888
5095.833333333333,702081.6666666666,77,0.003730794,0.22460938,5.096957,-0.0146612,4.8626246,0.027788400650024414,75,9600,526.8717211599869,38400
5095.833333333333,702081.6666666666,91,0.001633974,0.092285156,5.0916266,-0.012692217,3.365145,0.03289002180099487,76,9728,532.4833296729776,38912
