eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,86,4.7493668e-07,0.0,6.148468,-0.00046236668,7.434222e-07,-2.54118275642395,1,128,5.904352319001191,512
nan,nan,109,1.0863008e-06,0.0,6.1484666,-0.00054114184,0.008099841,-0.0004831552505493164,2,256,10.583322649001275,1024
nan,nan,95,7.868909e-06,0.0,6.14845,-0.0016752469,0.029101983,0.0006085634231567383,3,384,15.950709751001341,1536
nan,nan,104,4.1221116e-05,0.0,6.1483455,-0.002489827,4.8054867,-2.872943878173828e-05,4,512,20.862815579001108,2048
nan,nan,105,7.8660436e-05,0.0,6.148089,-0.0030160665,4.6353846,-9.226799011230469e-05,5,640,25.735899097000583,2560
nan,nan,105,0.00014570232,0.0,6.1474915,-0.0035404465,2.2536652,-0.00044715404510498047,6,768,30.57324473799963,3072
nan,nan,109,0.00026932202,0.00048828125,6.14612,-0.0048137736,0.9985913,0.00017583370208740234,7,896,35.26452090800012,3584
nan,nan,103,0.0006845291,0.016113281,6.1423635,-0.0058771176,6.568988,-0.0013257265090942383,8,1024,40.20919716299977,4096
nan,nan,84,0.0008531147,0.018066406,6.137294,-0.007376059,4.539642,-0.002053499221801758,9,1152,46.2725744039999,4608
nan,nan,99,0.0016828626,0.100097656,6.1264653,-0.01441339,4.4182854,-0.0022488832473754883,10,1280,51.436540775999674,5120
nan,nan,80,0.0014879731,0.076660156,6.1100326,-0.011753265,0.85909796,-0.0016809701919555664,11,1408,57.77110566100055,5632
nan,nan,72,0.0009633688,0.03466797,6.106627,-0.013727761,2.536792,-0.00015175342559814453,12,1536,64.8092900820011,6144
nan,nan,64,0.0015997341,0.087890625,6.099236,-0.012659324,8.860086,-0.00509953498840332,13,1664,72.77806760699968,6656
nan,nan,66,0.0012911301,0.067871094,6.0985956,-0.014069288,7.3454695,-0.0027757883071899414,14,1792,80.45483322000109,7168
nan,nan,81,0.0014267487,0.07080078,6.0885363,-0.0143781435,3.907522,-0.0019659996032714844,15,1920,86.71950959400056,7680
nan,nan,84,0.001764532,0.09716797,6.07118,-0.019471368,8.691855,-0.0009524822235107422,16,2048,92.78409900600127,8192
nan,nan,82,0.001413896,0.061523438,6.0577655,-0.010702377,8.5516615,-0.0033044815063476562,17,2176,99.02656994300014,8704
nan,nan,84,0.0013073785,0.061523438,6.052482,-0.011434686,3.6968973,-0.0012917518615722656,18,2304,105.1211253700003,9216
nan,nan,77,0.0007535899,0.028320312,6.030319,-0.01019702,5.713186,-0.004808902740478516,19,2432,111.74967764599933,9728
nan,nan,79,0.001911764,0.11376953,6.017817,-0.019653328,13.253624,-0.004361987113952637,20,2560,118.2236213239994,10240
nan,nan,84,0.0011343884,0.045898438,6.011855,-0.010937813,2.4151752,-0.0017066001892089844,21,2688,124.31165901599888,10752
nan,nan,81,0.001099789,0.046875,6.0004997,-0.0139781395,9.367998,-0.004566550254821777,22,2816,130.58050858700153,11264
nan,nan,65,0.0007558163,0.0234375,5.986613,-0.0072515,5.3073325,-0.0018591880798339844,23,2944,138.41474373700112,11776
nan,nan,58,0.0018379529,0.10107422,5.955801,-0.017364677,8.223207,-0.0017533302307128906,24,3072,147.17215688999931,12288
nan,nan,70,0.001193742,0.05029297,5.934841,-0.009673326,5.6414146,0.00039517879486083984,25,3200,154.4772340870004,12800
nan,nan,72,0.0006580387,0.020507812,5.9284797,-0.0101639,4.6368856,-0.00031447410583496094,26,3328,161.56371423300152,13312
nan,nan,53,0.0008651386,0.029296875,5.895759,-0.008503238,5.2438784,-0.0006145238876342773,27,3456,171.08411217200046,13824
nan,nan,69,0.001672821,0.09716797,5.8720827,-0.016239781,4.645733,-0.001204371452331543,28,3584,178.4281723310014,14336
nan,nan,73,0.0008739787,0.026855469,5.851791,-0.00680997,2.0615356,0.00048363208770751953,29,3712,185.3678309550014,14848
nan,nan,78,0.0013405043,0.063964844,5.8422265,-0.012757565,10.518634,0.0007256865501403809,30,3840,191.86706000100094,15360
