# {"t_start": 1703145662.1108367, "env_id": null} 
r,l,t
-1848.797588,6857,387.213182
48704.603113,10000,960.441158
42551.328643,5413,1275.112264
167707.099451,6262,1638.90644
226973.129164,5690,1973.535832
831031.711894,5312,2288.080262
454442.391448,5215,2597.434241
384156.646434,5984,2944.495997
209512.347789,5509,3264.054912
129941.357616,10000,3826.676904
19054.892377,7281,4240.336918
-43205.698621,10000,4788.916902
285191.095388,5791,5114.227545
206417.60869,5755,5440.017507
897536.762322,6187,5793.120675
284105.504747,5300,6085.007017
342958.565244,5991,6424.334899
183141.548535,6275,6772.345867
648191.66749,5872,7105.817795
313426.954529,5893,7431.183364
734242.777099,9651,7957.778019
528253.421872,6660,8328.265785
241975.414125,6532,8696.746197
388676.724261,6687,9075.915106
725914.680248,4862,9362.025851
1144807.178354,4641,9637.493143
1214627.61353,4349,9891.557342
187844.89621,7446,10307.150385
224759.872302,4556,10559.769687
20991.082244,6720,10936.5019
364362.68324,9250,11448.030123
-4709.789988,8237,11905.191129
112296.607884,5151,12185.697795
378003.450198,10000,12726.59492
746388.65629,5994,13061.371758
1073737.419235,5370,13363.822892
163883.036171,3951,13589.530865
352572.054836,6139,13921.314529
196225.356178,10000,14461.601429
507928.641225,10000,15013.719126
200940.206686,8215,15461.569679
50703.352386,10000,16002.897497
50808.622718,6018,16338.427607
163291.937204,10000,16881.65878
61858.109215,10000,17416.785915
401364.844829,9671,17944.238614
72977.68846,8948,18433.410241
1197133.477012,5567,18746.862013
1028324.779734,5171,19037.628142
183273.117705,4517,19287.992677
679579.918026,4872,19559.066572
855459.355125,5455,19865.984064
367178.742193,5885,20195.070737
5569.169963,5149,20476.367066
504028.292722,9573,20988.228533
28442.901955,10000,21523.154904
5512.000078,10000,22051.56077
584233.039714,10000,22599.437205
357597.624427,10000,23139.564843
192675.476497,6181,23481.465065
151864.537499,8376,23945.924448
326009.533995,8379,24408.578582
517164.055075,9822,24951.061965
177490.148204,7237,25354.418023
68480.527546,6337,25710.259055
216942.908892,6914,26097.021077
12039.650763,9249,26615.495923
680733.054963,6782,27001.4547
22684.941339,5698,27327.323341
23885.051744,6435,27692.755466
201820.55793,6784,28122.195302
760694.626187,8096,28443.783675
-17866.079372,6680,28709.762133
229825.918837,6018,28951.269135
461241.901914,6206,29159.415554
68008.552032,6408,29372.537071
197821.147463,6013,29571.321069
521852.850733,6495,29785.149435
154857.767586,6978,30015.577858
197632.478508,7553,30262.379002
160696.286857,6955,30490.632255
173663.336718,5452,30671.739882
187847.055909,6967,30903.482756
-22069.178528,6643,31144.916762
49141.020249,5633,31376.580223
384721.443424,6166,31629.472253
123626.758599,5965,31875.448806
695119.077129,6591,32145.412877
31021.921306,7161,32440.41422
15569.259117,6248,32700.549014
141294.126948,7053,32993.854033
680261.505994,7393,33299.033394
518035.742666,6123,33554.129764
320144.263994,6278,33813.195549
-35458.949091,6508,34081.217517
356997.96344,6875,34367.802165
1008415.313941,7858,34695.328647
135257.711011,5989,34945.237975
174495.209167,6946,35233.428332
-16746.148939,6754,35515.432299
195367.23855,6344,35780.077366
531166.801829,6341,36045.809353
25068.711564,6913,36333.087335
646690.62662,6939,36622.97053
816953.252905,7660,36945.912794
1156779.953839,7425,37269.944993
391969.805151,6387,37545.164088
128123.797735,6041,37806.345366
-32464.848841,5972,38064.58752
174570.678095,6971,38368.682218
180670.708711,6461,38650.949223
219730.979701,6239,38920.316433
465835.951634,6192,39189.817779
342849.986421,6214,39459.230248
217569.706693,6069,39723.813023
22883.981345,6850,40021.076685
844754.682277,7735,40363.433362
30932.64961,5972,40623.610706
148915.927747,5911,40878.717554
1181162.086147,9010,41266.758353
685376.177191,5872,41522.648692
485522.170417,5814,41774.931828
916913.369239,7217,42089.043016
1521941.972349,7963,42435.131701
342639.558794,5930,42691.254482
16506.451531,6256,42963.604925
1030337.827857,7434,43284.606961
199545.306391,7390,43604.257648
185684.738494,6508,43885.816765
125853.078089,5595,44129.603201
185659.269216,6645,44417.939892
172129.926379,6256,44688.845771
132199.936802,5700,44935.407769
-8244.119482,6865,45232.784724
61640.240443,6701,45524.141675
25843.651493,7151,45834.170581
188292.837993,6145,46101.177696
65098.502367,6470,46383.213688
485577.049541,6662,46673.203092
180008.937121,6024,46935.314865
240753.597271,6952,47239.811136
313880.808009,6526,47522.572664
303282.495097,6852,47820.905089
213970.7387,5785,48073.882931
358982.554785,5511,48314.784407
354038.46485,6447,48597.217607
478976.860395,8735,48980.831529
334801.465645,5179,49208.528603
186066.438193,5401,49443.057516
173159.429032,5690,49689.781797
186546.346066,6720,49979.808154
228604.446697,6436,50260.000963
60386.530065,6558,50543.38593
476687.930634,6135,50811.530338
509675.840823,5694,51056.023551
-16595.129135,6810,51352.172821
362038.295594,6788,51646.566165
17408.481452,5773,51898.345217
384191.664009,6630,52185.78402
10834.792175,6393,52463.955029
