eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,39,1.6703372e-07,0.0,6.148468,-0.0002886302,111.52968,-2.7060508728027344e-05,1,128,13.01851582099971,512
nan,nan,56,1.684142e-05,0.0,6.148455,-0.002266666,108.99608,3.457069396972656e-05,2,256,22.13477706799995,1024
nan,nan,58,6.425563e-05,0.0,6.1482124,-0.0028153677,94.16643,-0.0011169910430908203,3,384,30.881269678999615,1536
nan,nan,74,8.358027e-05,0.0,6.1477585,-0.0037862142,91.41722,0.0009108185768127441,4,512,37.79255684999998,2048
nan,nan,95,9.171605e-05,0.0,6.147126,-0.0044027977,90.903015,0.002004086971282959,5,640,43.163708873999894,2560
nan,nan,104,9.95024e-05,0.0,6.146436,-0.0046286616,95.06726,0.0022845864295959473,6,768,48.04647050499989,3072
nan,nan,95,0.00013399664,0.0,6.145324,-0.004378994,87.95656,0.0015087723731994629,7,896,53.41984289799984,3584
nan,nan,64,0.00016843318,0.0,6.1440034,-0.006153444,94.56746,0.00472027063369751,8,1024,61.32965196299983,4096
nan,nan,60,0.0005347474,0.015136719,6.1418524,-0.01172327,92.9248,0.005800068378448486,9,1152,69.7305006939996,4608
nan,nan,62,0.000668695,0.0063476562,6.136305,-0.0054274006,67.025505,0.005776405334472656,10,1280,77.8965081209999,5120
nan,nan,76,0.00027829842,0.0009765625,6.1310043,-0.004905719,81.55366,0.0011368393898010254,11,1408,84.61226750399965,5632
nan,nan,82,0.00014890693,0.0,6.127382,-0.0018087015,73.054344,0.009055256843566895,12,1536,90.79931869099983,6144
nan,nan,71,0.0011658517,0.06982422,6.12393,-0.016032033,97.50509,0.007170915603637695,13,1664,98.00644757099963,6656
nan,nan,72,0.0008628767,0.01953125,6.1123347,-0.0039952397,70.99431,0.007968604564666748,14,1792,105.052243008,7168
