# {"t_start": 1703043699.8170033, "env_id": null} 
r,l,t
1332.557448,5076,206.228576
389446.140234,4939,447.931664
41364.929904,5923,730.768355
105932.966846,5508,996.192575
450277.780568,4859,1232.910635
788890.582442,4816,1469.353968
796117.582892,4409,1683.573177
739389.812503,4836,1921.886885
594714.384858,4432,2138.682673
324346.14531,3672,2320.438167
533997.095145,3656,2502.153446
619557.755522,5128,2754.438558
-50207.871233,3607,2930.440492
305669.326039,4277,3138.191662
433841.13288,3790,3327.383443
381798.539974,4000,3518.984234
245131.644167,4454,3724.461905
522940.717807,4326,3923.291195
69738.918111,4659,4131.109716
-69009.958082,5172,4362.498921
326193.001906,5636,4611.686746
-105763.05752,6972,4921.937173
931192.910784,4400,5125.129063
733426.813749,4448,5328.890282
111481.177561,4784,5554.15829
390727.34306,4195,5747.391563
432952.721434,4218,5943.224673
429570.24612,4882,6173.861059
-282987.903877,10000,6622.394942
423332.923259,10000,7071.624865
261204.667249,10000,7527.263013
886392.191817,4623,7736.495061
413727.25183,9621,8184.730371
543264.510924,6956,8550.408077
1269278.586707,5628,8828.096991
756965.214302,4288,9045.568345
246744.463425,4949,9292.2973
806772.12583,4732,9530.355164
921793.261682,4652,9761.600673
789367.308344,10000,10241.582965
772419.07319,4404,10458.153578
936024.890049,4406,10688.862714
808908.093427,4505,10914.109283
645975.096346,4484,11136.703342
965976.839696,4519,11360.346497
591553.537711,5184,11620.520725
687592.133397,7389,11977.322472
485586.117593,4269,12183.315232
594887.266951,5197,12437.277711
906780.240304,5681,12715.069563
380022.96167,4594,12940.74911
615777.024146,4410,13155.434317
551433.755574,6216,13459.55145
51146.169251,8337,13864.07618
407053.181558,4276,14073.634265
784828.550799,3936,14269.271749
449014.791532,5104,14525.830727
637359.677682,7936,14918.598966
627378.249179,4399,15136.343628
409890.960276,4328,15352.219009
500903.239605,6650,15680.502463
650940.866183,7276,16035.120294
182652.126861,6832,16364.880015
631371.616686,4593,16592.954183
1155723.795919,4323,16808.474975
1102433.489558,4657,17038.742888
721440.994748,4395,17256.820867
679405.576498,4389,17471.865861
459754.982908,3979,17669.509484
342005.915849,8500,18084.196825
766799.792027,4690,18311.876077
392238.819984,6003,18604.191633
713993.857644,4687,18835.21826
1193602.499766,4640,19062.334509
367141.913255,4017,19260.90125
501905.878055,4691,19493.296563
666452.867071,3692,19675.194414
968054.213079,4850,19911.077069
1588454.589994,4464,20129.79312
644621.605969,4410,20345.175081
532795.530508,4376,20557.979416
438092.781715,4335,20771.134825
537013.395261,3793,20958.815907
445595.690755,4210,21166.413187
955270.201897,3876,21356.953506
1342030.211328,4115,21559.248754
1366139.096509,5024,21806.002332
