eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,87,1.809004e-07,0.0,6.148468,-0.00026399223,113.99301,-8.96453857421875e-05,1,128,5.848889211003552,512
nan,nan,108,2.1495074e-05,0.0,6.1484485,-0.0020583146,113.052826,1.2934207916259766e-05,2,256,10.569857315000263,1024
nan,nan,91,0.0004736365,0.010253906,6.147705,-0.010373183,98.04487,-0.0019844770431518555,3,384,16.19620942500478,1536
nan,nan,98,0.0029326533,0.21972656,6.1396947,-0.015204308,95.02175,-0.006054043769836426,4,512,21.381516117005958,2048
nan,nan,89,0.0019192247,0.1352539,6.1307163,-0.015821088,77.06119,0.0029990077018737793,5,640,27.104794899001718,2560
nan,nan,103,0.0016748017,0.11279297,6.1230226,-0.009815477,96.371185,0.004488527774810791,6,768,32.049916333999136,3072
nan,nan,105,0.0010137656,0.049316406,6.1223283,-0.010380856,81.69559,0.0014914274215698242,7,896,36.89783225899737,3584
nan,nan,96,0.0015763412,0.09814453,6.1143246,-0.017021118,80.55261,0.01046687364578247,8,1024,42.17884976200003,4096
nan,nan,101,0.0014571755,0.08691406,6.1072626,-0.015935477,81.75951,0.009598612785339355,9,1152,47.25402572299936,4608
nan,nan,100,0.002253722,0.16015625,6.099311,-0.021500599,75.57332,0.008122146129608154,10,1280,52.331773687998066,5120
nan,nan,99,0.0010560361,0.053222656,6.1068344,-0.01522781,85.461494,0.01481097936630249,11,1408,57.46148350399744,5632
nan,nan,87,0.0016422595,0.096191406,6.097673,-0.016726147,75.922424,-0.012361764907836914,12,1536,63.336911806007265,6144
nan,nan,99,0.0013722351,0.071777344,6.1014853,-0.01770461,80.3183,0.005490779876708984,13,1664,68.4618911370053,6656
nan,nan,97,0.0029714527,0.2055664,6.0817347,-0.020941244,79.34844,0.011050105094909668,14,1792,73.6942443500011,7168
nan,nan,103,0.0014596748,0.078125,6.083661,-0.013139686,77.31587,0.010632872581481934,15,1920,78.66533045200049,7680
nan,nan,100,0.002097283,0.13330078,6.067702,-0.024212003,54.095963,-0.016915202140808105,16,2048,83.76171153399628,8192
nan,nan,92,0.0022595965,0.13574219,6.0582347,-0.020819984,78.581856,0.03738588094711304,17,2176,89.32593097600329,8704
nan,nan,101,0.0011905485,0.063964844,6.0546794,-0.014096453,66.07952,0.02961355447769165,18,2304,94.35148039199703,9216
nan,nan,99,0.0024664123,0.16015625,6.047943,-0.023774944,69.242615,0.008576810359954834,19,2432,99.47593798700836,9728
nan,nan,102,0.0020496547,0.125,6.039914,-0.018135238,69.34189,0.00983208417892456,20,2560,104.46654297500208,10240
nan,nan,102,0.0019339591,0.12402344,6.034068,-0.016837487,64.56491,0.011094987392425537,21,2688,109.4623909410002,10752
nan,nan,90,0.0020188023,0.12011719,6.028702,-0.015874198,68.37537,0.0052149295806884766,22,2816,115.13344675900589,11264
nan,nan,96,0.00128538,0.0625,6.0126,-0.014347261,64.17761,0.002337038516998291,23,2944,120.43655804199807,11776
nan,nan,100,0.0010695693,0.060058594,5.9964666,-0.011452105,57.86827,0.02072322368621826,24,3072,125.52536898900871,12288
nan,nan,101,0.0025605042,0.1430664,5.9721026,-0.01838763,65.74671,0.01876676082611084,25,3200,130.58972738099692,12800
nan,nan,101,0.002510758,0.13476562,5.9656863,-0.02015744,60.559048,-0.0007593631744384766,26,3328,135.6307519670081,13312
nan,nan,99,0.0034124488,0.20898438,5.950016,-0.024676593,73.214615,0.019616127014160156,27,3456,140.76230207600747,13824
nan,nan,103,0.002299435,0.13671875,5.932504,-0.015620133,68.19669,0.020238101482391357,28,3584,145.7284059759986,14336
nan,nan,101,0.0014380157,0.087890625,5.9203167,-0.01697421,61.86599,0.030060529708862305,29,3712,150.77200512200943,14848
nan,nan,83,0.0023908764,0.13867188,5.904658,-0.016840473,65.48987,0.025311768054962158,30,3840,156.9012409420102,15360
nan,nan,96,0.0016422909,0.10205078,5.8820443,-0.013294006,52.67389,0.0467221736907959,31,3968,162.22047953100991,15872
nan,nan,102,0.0028047455,0.19433594,5.860867,-0.019063663,67.087425,-0.021054387092590332,32,4096,167.197122329002,16384
nan,nan,103,0.0026993025,0.17675781,5.854591,-0.017241258,58.802914,-0.003108382225036621,33,4224,172.12403139300295,16896
nan,nan,101,0.0027257781,0.16064453,5.8501844,-0.01632161,49.53918,0.0446588397026062,34,4352,177.18189382400305,17408
nan,nan,103,0.0023406323,0.1303711,5.835822,-0.012322374,63.11649,0.02921229600906372,35,4480,182.15169725500164,17920
4489.0,351972.769534,102,0.0010497809,0.047851562,5.843034,0.0002567854,68.197136,0.004825413227081299,36,4608,187.13026893800998,18432
4489.0,351972.769534,95,0.0014063232,0.06982422,5.8175344,-0.017107144,68.378654,0.01049506664276123,37,4736,192.50392138199823,18944
